3/1/2011,19:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,0.7,0.6,vised From 0.2
5/31/2011,20:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,-1.2,-0.7,vised From 0.7
9/6/2011,20:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,1.2,1,vised From -1.2
12/6/2011,19:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,1,1.2,vised From 1.2
3/6/2012,19:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.4,0.7,vised From 1.0
6/5/2012,20:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,1.3,0.5,vised From 0.4
9/4/2012,20:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.6,0.7,vised From 1.3
12/4/2012,19:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.5,0.6,0.6
3/5/2013,19:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,0.6,0.6,vised From 0.5
6/4/2013,20:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.6,0.8,0.6
9/3/2013,20:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,0.6,0.6,vised From 0.6
12/3/2013,19:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.6,0.8,vised From 0.6
2014/03/04,19:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,0.8,0.7,0.6
2014/06/03,20:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,1.1,1,0.8
2014/09/02,20:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,0.5,0.4,1.1
2014/12/02,19:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.3,0.7,0.5
2015/03/03,19:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,0.5,0.5,vised From 0.3
2015/06/02,20:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,0.9,0.7,0.5
2015/09/01,20:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.2,0.4,0.9
2015/12/01,19:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,0.9,0.8,evised From 0.2
2016/03/01,19:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,0.6,0.4,evised From 0.9
2016/05/31,20:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,1.1,0.8,evised From 0.6
2016/09/06,20:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.5,0.6,evised From 1.1
2016/12/06,19:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,-0.5,0.3,evised From 0.5
2017/02/28,19:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,1.1,0.7,-0.5
2017/06/06,20:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,0.3,0.2,1.1
2017/09/05,20:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.8,0.9,0.3
2017/12/05,19:30:00,Australia                       ,Moderate Volatility Expected    ,GDP                                                                                                             ,Worse Than Expected             ,% ,2.8,3,1.8
2018/03/06,20:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.4              ,0.50,evised From 0.6
2018/06/05,21:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,1.0              ,0.80,evised From 0.4
2018/09/04,21:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,0.9              ,0.80,evised From 1.0
2018/12/04,19:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.3              ,0.60,0.90
2019/03/05,20:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.2,0.5,0.3
2019/06/04,20:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.4,0.5,0.2
2019/09/03,20:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,0.5,0.5,evised From 0.4
2019/12/03,19:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.4,0.5,0.5
2020/03/03,20:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,0.5,0.3,evised From 0.4
2020/06/02,21:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,-0.3,-0.3,0.5
2020/09/01,21:30:00,Australia                       ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,-7,-6,-0.3
