1/23/2011,19:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.1,0.5,1.3
4/20/2011,20:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,1.2,1,0.1
7/24/2011,20:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.8,0.5,1.2
10/23/2011,19:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.6,0.8,0.8
1/22/2012,19:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.3,0.4,0.6
4/22/2012,20:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.3,0.4,0.3
7/22/2012,20:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.5,0.3,-0.3
11/1/2012,19:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.6,1.2,0.5
1/31/2013,19:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.2,0.4,0.6
5/2/2013,20:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.3,0.2,0.2
8/1/2013,20:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.1,0.6,0.3
10/31/2013,19:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,1.3,0.7,0.1
1/30/2014,19:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.2,0.9,1.3
5/1/2014,20:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.9,0.5,0.2
7/31/2014,20:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.1,0.7,0.9
10/30/2014,19:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.2,0.2,-0.1
1/29/2015,19:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.1,0.3,0.2
4/30/2015,20:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.5,0.2,0.1
7/30/2015,20:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.3,0.6,0.5
10/29/2015,19:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,,% ,0.9,,0.3
1/28/2016,19:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.3,0.6,0.9
4/28/2016,20:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.2,0.2,0.3
7/28/2016,20:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.1,0.2,-0.2
10/27/2016,19:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.3,0.6,0.1
1/26/2017,19:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.5,0.2,0.3
4/27/2017,20:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.5,0.3,0.5
7/27/2017,20:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.5,0.6,0.5
10/26/2017,19:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.2,0.4,0.5
2/1/2018,19:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.6,0.2,0.2
4/26/2018,21:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.5,0.4,0.6
7/26/2018,21:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.3,0.4,0.5
11/1/2018,19:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.8,0.2,0.3
1/31/2019,19:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.5,0.6,0.8
4/25/2019,21:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.4,0.4,0.5
8/1/2019,20:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.4,0.2,0.4
10/31/2019,19:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.4,0.3,0.4
1/30/2020,19:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.3,0.3,0.4
4/30/2020,21:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,,% ,0.2,,0.3
7/30/2020,21:30:00,Australia                       ,Moderate Volatility Expected    ,PPI                                                                                                             ,,% ,-1.2,,0.2
