1/9/2011,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.3,0.3,vised From -1.1
2/6/2011,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.2,0.5,vised From 0.3
2/28/2011,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.4,0.3,0.2
3/30/2011,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.5,0.4,0.4
5/4/2011,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.5,0.6,vised From 0.5
6/1/2011,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.1,0.4,vised From -0.5
7/3/2011,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.6,0.3,vised From 1.1
8/2/2011,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.1,0.4,-0.6
8/31/2011,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.5,0.3,-0.1
10/4/2011,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.6,0.2,vised From 0.5
11/2/2011,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.4,0.5,0.6
11/30/2011,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.2,0.4,0.4
1/8/2012,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0,0.4,0.2
2/5/2012,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.1,0.2,vised From 0.0
2/28/2012,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.3,0.3,-0.1
4/2/2012,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.2,0.3,0.3
5/6/2012,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.9,0.2,vised From 0.2
5/29/2012,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.2,0.2,vised From 0.9
7/3/2012,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.5,0.2,vised From -0.2
8/1/2012,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1,0.7,vised From 0.5
9/2/2012,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.8,0.2,vised From 1.0
10/3/2012,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.2,0.4,-0.8
11/4/2012,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.5,0.4,vised From 0.2
12/2/2012,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0,0.4,0.5
1/8/2013,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.1,0.3,0
2/5/2013,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.2,0.3,vised From -0.1
3/4/2013,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.9,0.4,vised From -0.2
4/3/2013,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.3,0.3,vised From 0.9
5/5/2013,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.4,0.2,1.3
6/2/2013,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.2,0.3,-0.4
7/2/2013,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.1,0.3,vised From 0.2
8/4/2013,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0,0.4,vised From 0.1
9/2/2013,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.1,0.4,0
9/30/2013,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.4,0.3,0.1
11/3/2013,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.8,0.4,vised From 0.4
12/2/2013,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.5,0.4,vised From 0.8
1/8/2014,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.7,0.3,0.5
2/5/2014,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.5,0.4,0.7
3/5/2014,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.2,0.5,vised From 0.5
4/2/2014,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.2,0.3,1.2
5/6/2014,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.1,0.4,vised From 0.2
6/2/2014,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.2,0.2,0.1
7/2/2014,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.5,0.3,vised From 0.2
8/3/2014,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.6,0.4,vised From -0.5
9/3/2014,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.4,0.4,0.6
9/30/2014,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.1,0.4,0.4
11/3/2014,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.2,0.4,0.1
12/3/2014,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.4,0.1,vised From 1.2
1/8/2015,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.1,0.2,0.4
2/4/2015,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.2,0.4,0.1
3/4/2015,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.4,0.4,0.2
4/6/2015,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.7,0.4,vised From 0.4
5/5/2015,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.3,0.4,0.7
6/3/2015,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0,0.4,vised From 0.3
7/2/2015,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.3,0.5,-0.1
8/3/2015,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.7,0.5,evised From 0.3
9/2/2015,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.1,0.4,evised From 0.7
10/1/2015,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.4,0.4,-0.1
11/3/2015,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.4,0.4,0.4
12/3/2015,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.5,0.5,0.4
1/7/2016,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.4,0.4,evised From 0.5
2/4/2016,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0,0.5,0.4
2/4/2016,19:30:00,Australia                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.6,0.9,0.6
3/3/2016,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.3,0.4,0
4/3/2016,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0,0.4,0.3
5/4/2016,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.4,0.3,0.1
6/1/2016,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.2,0.3,0.4
7/4/2016,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.2,0.3,evised From 0.2
8/3/2016,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.1,0.4,0.2
8/31/2016,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0,0.3,0.1
10/4/2016,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.4,0.2,0
11/3/2016,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.6,0.4,evised From 0.4
12/1/2016,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.5,0.3,0.6
1/9/2017,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.2,0.4,0.5
2/5/2017,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.1,0.3,evised From 0.2
3/5/2017,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.4,0.4,-0.1
4/2/2017,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.1,0.3,0.4
5/8/2017,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.1,0.3,evised From -0.1
5/31/2017,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1,0.3,evised From -0.1
7/3/2017,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.6,0.2,1
8/3/2017,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.3,0.2,0.6
9/6/2017,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0,0.3,evised From 0.3
10/4/2017,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.6,0.3,-0.2
11/2/2017,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0,0.4,evised From -0.6
12/4/2017,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.5,0.3,0.1
1/10/2018,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.2,0.4,0.5
2/5/2018,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.5,-0.2,evised From 1.2
3/5/2018,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.1,0.4,-0.5
4/3/2018,21:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.6,0.3,evised From 0.1
5/7/2018,21:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0,0.2,0.6
6/3/2018,21:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.4,0.2,0
7/3/2018,21:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.4,0.3,evised From 0.4
8/2/2018,21:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.4,0.3,0.4
9/2/2018,21:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0,0.3,0.4
10/4/2018,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.3,0.3,0
11/1/2018,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.2,0.3,0.3
12/5/2018,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.3,0.3,evised From 0.2
1/10/2019,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.4,0.3,0.3
2/4/2019,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.4,0,evised From 0.4
3/6/2019,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.1,0.3,-0.4
4/2/2019,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.8,0.3,0.1
5/6/2019,21:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.3,0.2,evised From 0.8
6/3/2019,21:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.1,0.2,0.3
7/3/2019,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.1,0.2,-0.1
8/1/2019,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.4,0.3,0.1
9/2/2019,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.1,0.2,0.4
10/3/2019,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.4,0.5,-0.1
11/3/2019,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.2,0.5,0.4
12/4/2019,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0,0.3,0.2
1/9/2020,19:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.9,0.4,0.1
2/5/2020,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.5,-0.2,evised From 0.9
3/5/2020,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,,% ,-0.3,,evised From -0.5
4/2/2020,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.5,0.4,-0.3
4/21/2020,20:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,,% ,8.2,,0.5
5/5/2020,21:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,8.5,8.2,0.5
5/19/2020,21:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,,% ,-17.9,,8.5
6/3/2020,21:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,-17.7,-17.9,8.5
6/18/2020,21:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,16.3,33.6,-17.7
7/2/2020,21:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,16.9,16.3,-17.7
7/21/2020,21:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,2.4,7.1,16.9
8/3/2020,21:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,2.7,2.4,16.9
8/20/2020,21:30:00,Australia                       ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,3.3,-2.7,2.7
