1/12/2011,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,5,5.1,5.2
2/9/2011,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,5,5,5
3/9/2011,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,5,5,5
4/6/2011,20:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,4.9,5,5
5/11/2011,20:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,4.9,4.9,4.9
6/8/2011,20:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,4.9,4.9,4.9
7/6/2011,20:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,4.9,4.9,4.9
8/10/2011,20:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,5.1,4.9,4.9
9/7/2011,20:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,5.3,5.1,5.1
10/12/2011,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,5.2,5.3,5.3
11/9/2011,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,5.2,5.3,vised From 5.2
12/7/2011,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,5.3,5.2,5.2
1/18/2012,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,5.2,5.3,vised From 5.3
2/15/2012,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,5.1,5.3,5.2
3/7/2012,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,5.2,5.2,5.1
4/11/2012,20:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,5.2,5.3,5.2
5/9/2012,20:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,4.9,5.3,5.2
6/6/2012,20:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,5.1,5.1,vised From 4.9
7/11/2012,20:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,5.2,5.2,5.1
8/8/2012,20:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,5.2,5.3,vised From 5.2
9/5/2012,20:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,5.1,5.3,5.2
10/10/2012,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,5.4,5.3,5.1
11/7/2012,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,5.4,5.5,5.4
12/5/2012,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,5.2,5.5,5.4
1/16/2013,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,5.4,5.4,vised From 5.2
2/6/2013,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,5.4,5.5,5.4
3/13/2013,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,5.4,5.5,5.4
4/10/2013,20:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,5.6,5.4,5.4
5/8/2013,20:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,5.5,5.6,5.6
6/12/2013,20:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,5.5,5.6,vised From 5.5
7/10/2013,20:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,5.7,5.6,vised From 5.5
8/7/2013,20:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,5.7,5.8,5.7
9/11/2013,20:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,5.8,5.8,5.7
10/9/2013,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,5.6,5.8,5.8
11/6/2013,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,5.7,5.7,vised From 5.6
12/11/2013,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,5.8,5.8,5.7
2014/01/15,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,5.8,5.8,5.8
2014/02/12,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,6,5.8,5.8
2014/03/12,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,6,6,6
2014/04/09,20:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,5.8,6,vised From 6.0
2014/05/07,20:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,5.8,5.9,5.8
2014/06/11,20:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,5.8,5.9,5.8
2014/07/09,20:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,6,5.9,vised From 5.8
2014/08/06,20:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,6.4,6,6
2014/09/10,20:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,6.1,6.3,6.4
2014/10/08,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,6.1,6.1,vised From 6.1
2014/11/05,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,6.2,6.1,vised From 6.1
2014/12/10,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,6.3,6.3,6.2
2015/01/14,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,6.1,6.3,vised From 6.3
2015/02/11,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,6.4,6.2,6.1
2015/03/11,19:30:00,Australia                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,6.3,6.3,6.4
