1/26/2011,14:15:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
3/15/2011,13:15:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
4/27/2011,11:30:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
6/22/2011,11:30:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
8/9/2011,13:15:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
9/21/2011,13:15:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
11/2/2011,11:30:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
12/13/2011,14:15:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
1/25/2012,12:30:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
3/13/2012,13:15:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
4/25/2012,11:30:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
6/20/2012,11:30:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
8/1/2012,13:15:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
9/13/2012,11:30:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
10/24/2012,13:15:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
12/12/2012,12:30:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
1/30/2013,14:15:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
3/20/2013,13:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
5/1/2013,13:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
6/19/2013,13:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
7/31/2013,13:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
9/18/2013,13:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
10/30/2013,13:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
12/18/2013,14:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
2014/01/29,14:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
2014/03/19,13:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
2014/04/30,13:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
