1/1/2011,4:00:00,United States                   ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,2.8,  ,  
1/13/2011,8:30:00,United States                   ,High Volatility Expected        ,PPI                                                                                                             ,Better Than Expected            ,% ,1.1,0.7,0.8
2/1/2011,4:00:00,United States                   ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,2.5,  ,2.8
2/16/2011,8:30:00,United States                   ,High Volatility Expected        ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.8,0.8,vised From 1.1
3/1/2011,4:00:00,United States                   ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,3.3,  ,2.5
3/16/2011,7:30:00,United States                   ,High Volatility Expected        ,PPI                                                                                                             ,Better Than Expected            ,% ,1.6,0.6,0.8
4/1/2011,4:00:00,United States                   ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,3.9,  ,3.3
4/14/2011,7:30:00,United States                   ,High Volatility Expected        ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.7,1,1.6
5/1/2011,4:00:00,United States                   ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,4,  ,3.9
5/12/2011,7:30:00,United States                   ,High Volatility Expected        ,PPI                                                                                                             ,Better Than Expected            ,% ,0.8,0.6,0.7
6/1/2011,4:00:00,United States                   ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,4.1,  ,4
6/14/2011,7:30:00,United States                   ,High Volatility Expected        ,PPI                                                                                                             ,Better Than Expected            ,% ,0.2,0.1,0.8
7/1/2011,4:00:00,United States                   ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,4.4,  ,4.1
7/14/2011,7:30:00,United States                   ,High Volatility Expected        ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.4,-0.2,0.2
8/1/2011,4:00:00,United States                   ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,4.4,  ,4.4
8/17/2011,7:30:00,United States                   ,High Volatility Expected        ,PPI                                                                                                             ,Better Than Expected            ,% ,0.2,0.1,-0.4
9/1/2011,4:00:00,United States                   ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,4.4,  ,4.4
9/14/2011,7:30:00,United States                   ,High Volatility Expected        ,PPI                                                                                                             ,In Line with Expectation        ,% ,0,0,0.2
10/1/2011,4:00:00,United States                   ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,4.5,  ,4.4
10/18/2011,7:30:00,United States                   ,High Volatility Expected        ,PPI                                                                                                             ,Better Than Expected            ,% ,0.8,0.2,0
11/1/2011,4:00:00,United States                   ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,3.8,  ,4.5
11/15/2011,8:30:00,United States                   ,High Volatility Expected        ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.3,-0.2,0.8
12/1/2011,4:00:00,United States                   ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,3.7,  ,3.8
12/15/2011,8:30:00,United States                   ,High Volatility Expected        ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.3,0.3,-0.3
1/1/2012,4:00:00,United States                   ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,3.3,  ,3.7
1/18/2012,8:30:00,United States                   ,High Volatility Expected        ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.1,0.1,0.3
2/1/2012,4:00:00,United States                   ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,3.1,  ,3.3
2/16/2012,8:30:00,United States                   ,High Volatility Expected        ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.1,0.3,-0.1
3/1/2012,4:00:00,United States                   ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,2.8,  ,3.1
3/15/2012,7:30:00,United States                   ,High Volatility Expected        ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.4,0.5,0.1
4/1/2012,4:00:00,United States                   ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,2.3,  ,2.8
4/12/2012,7:30:00,United States                   ,High Volatility Expected        ,PPI                                                                                                             ,Worse Than Expected             ,% ,0,0.3,0.4
5/11/2012,7:30:00,United States                   ,High Volatility Expected        ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.2,0,0
