1/1/2011,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                               ,,% ,0.1,  ,1
1/14/2011,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.6,0.7,0.8
2/1/2011,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.8,  ,0.1
2/15/2011,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.3,0.5,vised From 0.6
3/1/2011,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.4,  ,0.8
3/11/2011,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,1,1,vised From 0.3
4/1/2011,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.6,  ,0.4
4/13/2011,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.4,0.5,vised From 1.0
5/1/2011,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.6,  ,0.6
5/12/2011,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.5,0.6,vised From 0.4
6/1/2011,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0,  ,0.6
6/14/2011,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,-0.2,-0.7,vised From 0.5
7/1/2011,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.7,  ,0
7/14/2011,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.1,0,vised From -0.2
8/1/2011,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0,  ,0.7
8/12/2011,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.5,0.5,vised From 0.1
9/1/2011,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.5,  ,0
9/14/2011,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0,0.2,vised From 0.5
10/1/2011,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.2,  ,0.5
10/14/2011,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.1,0.5,vised From 0.0
11/1/2011,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.6,  ,0.2
11/15/2011,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.5,0.4,1.1
12/1/2011,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.2,  ,0.6
12/13/2011,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.2,0.6,vised From 0.5
1/1/2012,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,-0.6,  ,0.2
1/12/2012,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.1,0.3,vised From 0.2
2/1/2012,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,1.2,  ,-0.6
2/14/2012,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.4,0.8,vised From 0.1
3/1/2012,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.7,  ,1.2
3/13/2012,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,1.1,1.1,vised From 0.4
4/1/2012,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.3,  ,0.7
4/16/2012,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.8,0.3,vised From 1.1
5/1/2012,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,-0.3,  ,0.3
5/15/2012,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.1,0.2,vised From 0.8
6/1/2012,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.3,  ,-0.3
6/13/2012,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,-0.2,-0.2,vised From 0.1
7/1/2012,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,-0.3,  ,0.3
7/16/2012,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.5,0.2,-0.2
8/1/2012,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.7,  ,-0.3
8/14/2012,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.8,0.3,vised From -0.5
9/1/2012,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0,  ,0.7
9/14/2012,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.9,0.7,vised From 0.8
10/1/2012,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.4,  ,0
10/15/2012,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.1,0.8,vised From 0.9
11/1/2012,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,-0.1,  ,0.4
11/14/2012,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.3,-0.2,vised From 1.1
12/1/2012,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.5,  ,-0.1
12/13/2012,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.3,0.5,-0.3
1/15/2013,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.5,0.2,vised From 0.3
2/1/2013,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.7,  ,0.6
2/13/2013,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.1,0.1,0.5
3/1/2013,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.2,  ,0.7
3/13/2013,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.1,0.5,vised From 0.1
4/1/2013,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,-0.1,  ,0.2
4/12/2013,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.4,0.1,vised From 1.1
5/1/2013,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,-0.3,  ,-0.1
5/13/2013,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.1,-0.3,vised From -0.4
6/1/2013,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.4,  ,-0.3
6/13/2013,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.6,0.4,0.1
7/1/2013,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.1,  ,0.4
7/15/2013,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.4,0.8,vised From 0.6
8/1/2013,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.5,  ,0.1
8/13/2013,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.2,0.3,vised From 0.4
9/1/2013,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,-0.2,  ,0.5
9/13/2013,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.2,0.4,vised From 0.2
10/1/2013,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.5,  ,-0.2
10/29/2013,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.1,0.1,0.2
11/1/2013,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.3,  ,0.5
11/20/2013,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.4,0.1,vised From -0.1
12/1/2013,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,-0.1,  ,0.3
12/12/2013,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.7,0.6,vised From 0.4
1/1/2014,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.8,,-0.1
1/14/2014,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.2,0.1,vised From 0.7
2/1/2014,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,-1.1,,0.8
2/13/2014,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.4,0.3,vised From 0.2
3/1/2014,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.9,,-1.1
3/13/2014,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.3,0.2,vised From -0.4
4/1/2014,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,1.1,,0.9
4/14/2014,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.1,0.8,vised From 0.3
5/1/2014,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.4,,1.1
5/13/2014,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.1,0.4,vised From 1.2
6/1/2014,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0,,0.4
6/12/2014,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.3,0.6,vised From 0.1
7/1/2014,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.7,,0
7/15/2014,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.2,0.6,vised From 0.3
8/1/2014,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.2,,0.7
8/13/2014,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0,0.2,0.2
9/1/2014,4:00:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,,% ,0.5,,0.2
9/12/2014,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.6,0.6,vised From 0.0
10/15/2014,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.3,-0.1,0.6
11/14/2014,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.3,0.2,-0.3
12/11/2014,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.7,0.4,vised From 0.3
1/14/2015,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.9,-0.1,vised From 0.7
2/12/2015,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.8,-0.5,-0.9
3/12/2015,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.6,0.3,-0.8
4/14/2015,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.9,1,vised From -0.6
5/13/2015,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0,0.2,vised From 0.9
6/11/2015,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.2,1.1,vised From 0.0
7/14/2015,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.3,0.2,vised From 1.2
8/13/2015,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.6,0.5,evised From -0.3
9/15/2015,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.2,0.3,evised From 0.6
10/14/2015,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.1,0.2,evised From 0.2
11/13/2015,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.1,0.3,0.1
12/11/2015,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.2,0.3,0.1
1/15/2016,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.1,0.1,evised From 0.2
2/12/2016,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.2,0.1,evised From -0.1
3/15/2016,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,-0.1,-0.2,evised From 0.2
4/13/2016,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.3,0.1,-0.1
5/13/2016,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.3,0.8,evised From -0.4
6/14/2016,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.5,0.3,1.3
7/15/2016,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.6,0.1,evised From 0.5
8/12/2016,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0,0.4,evised From 0.6
9/15/2016,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.3,-0.1,0.1
10/14/2016,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.6,0.6,evised From -0.3
11/15/2016,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.8,0.6,evised From 0.6
12/14/2016,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.1,0.3,evised From 0.8
1/13/2017,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.6,0.7,evised From 0.1
2/15/2017,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.4,0.1,evised From 0.6
3/15/2017,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.1,0.1,evised From 0.4
4/14/2017,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.2,-0.1,evised From 0.1
5/12/2017,7:30:00,United States                   ,Low Volatility Expected         ,Retail Control                                                                                                  ,Worse Than Expected             ,% ,0.2,0.4,evised From 0.5
5/12/2017,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.4,0.6,evised From -0.2
6/14/2017,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.3,0.1,0.4
7/14/2017,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.2,0.1,evised From -0.3
8/15/2017,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.6,0.4,evised From -0.2
9/15/2017,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.2,0.1,evised From 0.6
10/13/2017,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,1.6,1.7,evised From -0.2
11/15/2017,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.2,0.1,evised From 1.6
12/14/2017,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.8,0.3,evised From 0.2
1/12/2018,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.4,0.4,evised From 0.8
2/14/2018,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.3,0.2,0.4
3/14/2018,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.1,0.3,evised From -0.3
4/16/2018,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.6,0.4,-0.1
5/15/2018,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.3,0.4,evised From 0.6
6/14/2018,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.8,0.4,evised From 0.3
7/16/2018,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.5,0.5,evised From 0.8
8/15/2018,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.5,0.2,evised From 0.5
9/14/2018,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.1,0.4,evised From 0.5
10/15/2018,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.1,0.7,0.1
11/15/2018,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.8,0.6,evised From 0.1
12/14/2018,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.2,0.1,evised From 0.8
1/1/2019,19:00:00,Singapore                       ,Low Volatility Expected         ,GDP                                                                                                             ,Worse Than Expected             ,% ,1.6,2.9,evised From 3.0
2/14/2019,9:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-1.2,0.1,evised From 0.2
3/11/2019,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.2,0,evised From -1.2
4/1/2019,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.2,0.3,evised From 0.2
4/18/2019,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.6,0.9,-0.2
5/15/2019,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.2,0.2,evised From 1.6
6/14/2019,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.5,0.7,evised From -0.2
7/16/2019,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.4,0.1,evised From 0.5
8/15/2019,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.7,0.3,evised From 0.4
9/13/2019,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.4,0.2,evised From 0.7
10/16/2019,7:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.3,0.3,evised From 0.4
11/15/2019,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.3,0.2,-0.3
12/13/2019,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.2,0.5,evised From 0.3
1/16/2020,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.3,0.3,evised From 0.2
2/14/2020,9:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.3,0.3,evised From 0.3
3/17/2020,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.5,0.2,evised From 0.3
4/15/2020,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-8.7,-8,evised From -0.5
5/15/2020,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-16.4,-12,evised From -8.4
6/16/2020,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,17.7,8,evised From -16.4
7/16/2020,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,7.5,5,evised From 17.7
8/14/2020,8:30:00,United States                   ,High Volatility Expected        ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,1.2,1.9,evised From 7.5
