DATE_TIME,HIGH,LOW,OPEN,CLOSE,Event_value,Event_type,Time duration,Trend,Boundaries,strength,time
2011-01-06 3:15:00,1.26923,1.26701,1.26922,1.26729,0,CHF_CPI,Long term,UP,0.0003135,0.0007659090909,3:15:00
2011-01-06 5:00:00,1.27168,1.27086,1.27101,1.27102,-0.8,EUDZ_RETAILSALES,Short term,RANGE,0.0003135,0.0003509980237,5:00:00
2011-01-07 1:45:00,1.25369,1.25174,1.25331,1.25206,3.6,CHF_UNEMP,Long term,UP,0.0003225,0.0009681818182,1:45:00
2011-01-07 2:00:00,1.25454,1.25179,1.25205,1.25389,-2.4,EUDG_RETAILSALES,Short term,UP,0.0003225,0.001009545455,2:00:00
2011-01-07 4:00:00,1.25176,1.25011,1.25126,1.25049,8.7,EURI_UNEMP,Long term,RANGE,0.0003135,0.0003700528541,4:00:00
2011-01-10 3:15:00,1.24549,1.24385,1.24393,1.2445,2.5,CHF_RETAILSALES,Short term,RANGE,0.0016815,0.0003263825758,3:15:00
2011-01-13 1:30:00,1.2804,1.27421,1.27443,1.27992,0.5,EUDF_CPI,Short term,UP,0.000353,0.001473181818,1:30:00
2011-01-13 7:45:00,1.28246,1.28016,1.28074,1.28232,1,EUDZ_IR,Long term,UP,0.000468,0.001115454545,7:45:00
2011-01-14 2:00:00,1.29476,1.2913,1.29241,1.29239,1,EUDG_CPI,Long term,RANGE,0.000468,0.0003370909091,2:00:00
2011-01-14 3:15:00,1.2916,1.28921,1.2893,1.28986,0.3,CHF_PPI,Long term,UP,0.000316,0.001272272727,3:15:00
2011-01-20 2:00:00,1.28397,1.28224,1.2823,1.28263,0.7,EUDG_PPI,Long term,UP,0.0003485,0.001089090909,2:00:00
2011-01-25 3:00:00,1.2976,1.29625,1.29748,1.29625,5.3,EUDS_PPI,Short term,RANGE,0.000421,0.0003579904306,3:00:00
2011-01-26 4:00:00,1.29657,1.29544,1.29567,1.2958,-0.3,EUDI_RETAILSALES,Long term,DOWN,0.0004255,-0.0008404545455,4:00:00
2011-01-27 3:00:00,1.29251,1.29072,1.29166,1.29239,-4.4,EUDS_RETAILSALES,Long term,UP,0.0001925,0.001053181818,3:00:00
2011-01-27 8:00:00,1.29622,1.29511,1.29617,1.29524,-0.5,EUDG_CPI,Long term,UP,0.0002325,0.0009163636364,8:00:00
2011-01-31 2:00:00,1.28231,1.28058,1.28231,1.28185,-0.3,EUDG_RETAILSALES,Long term,UP,0.0004385,0.0005427272727,2:00:00
2011-01-31 5:00:00,1.28955,1.28778,1.28778,1.28899,2.4,EUDZ_CPI,Long term,RANGE,0.0005175,0.000314154334,5:00:00
2011-02-01 2:45:00,1.29293,1.29144,1.29246,1.29259,1,EUDF_PPI,Long term,UP,0.0001765,0.001006363636,2:45:00
2011-02-01 3:15:00,1.29333,1.29157,1.29216,1.29299,-0.4,CHF_RETAILSALES,Long term,RANGE,0.0001765,0.0003263825758,3:15:00
2011-02-01 4:00:00,1.29498,1.29383,1.2939,1.29442,8.6,EURI_UNEMP,Short term,UP,0.0001765,0.0009222727273,4:00:00
2011-02-01 5:00:00,1.29469,1.29351,1.29402,1.29452,10,EUDZ_UNEMP,Long term,DOWN,0.0001765,-0.0006395454545,5:00:00
2011-02-03 5:00:00,1.30082,1.29984,1.30029,1.30031,-0.6,EUDZ_RETAILSALES,Long term,RANGE,0.0002565,0.0003509980237,5:00:00
2011-02-03 7:45:00,1.29788,1.29501,1.2971,1.29504,1,EUDZ_IR,Long term,DOWN,0.0002215,-0.0009827272727,7:45:00
2011-02-04 5:00:00,1.29267,1.29161,1.29267,1.29205,0.4,EUDI_CPI,Long term,RANGE,0.0002565,0.0003926623377,5:00:00
2011-02-08 1:45:00,1.30116,1.30017,1.301,1.30041,3.5,CHF_UNEMP,Short term,RANGE,0.0003135,0.0003083333333,1:45:00
2011-02-10 3:15:00,1.3132,1.30877,1.31316,1.31127,-0.4,CHF_CPI,Short term,UP,0.000169,0.0007586363636,3:15:00
2011-02-11 2:00:00,1.31676,1.31486,1.31641,1.31558,-0.4,EUDG_CPI,Long term,DOWN,0.0003025,-0.000775,2:00:00
2011-02-11 2:45:00,1.31647,1.31448,1.31629,1.31454,0.2,EUDF_PAYROLL,Long term,RANGE,0.0003025,0.0003151398601,2:45:00
2011-02-15 1:30:00,1.30796,1.307,1.30715,1.30763,0.3,EUDF_GDP,Short term,DOWN,0.0001855,-0.0008040909091,1:30:00
2011-02-15 2:00:00,1.31132,1.3086,1.30869,1.31103,0.4,EUDG_GDP,Long term,UP,0.0001855,0.0007490909091,2:00:00
2011-02-15 4:00:00,1.31176,1.30945,1.30981,1.3115,0.1,EUDI_GDP,Short term,UP,0.0001855,0.00056,4:00:00
2011-02-15 5:00:00,1.31228,1.31068,1.31147,1.3121,0.3,EUDZ_GDP,Long term,UP,0.0001855,0.0004709090909,5:00:00
2011-02-16 3:00:00,1.30518,1.30406,1.30491,1.30415,0.2,EUDS_GDP,Long term,DOWN,0.0003145,-0.0008063636364,3:00:00
2011-02-18 2:00:00,1.29301,1.29163,1.2923,1.29194,1.2,EUDG_PPI,Long term,UP,0.000312,0.0007422727273,2:00:00
2011-02-23 1:30:00,1.28557,1.28465,1.28501,1.2853,-0.2,EUDF_CPI,Long term,RANGE,0.0003075,0.0003531344697,1:30:00
2011-02-23 3:15:00,1.2862,1.28449,1.28466,1.28598,0.1,CHF_PPI,Long term,RANGE,0.0003075,0.000404154334,3:15:00
2011-02-23 4:00:00,1.28628,1.28496,1.28599,1.28563,0.4,EUDI_CPI,Short term,RANGE,0.0003075,0.0003926623377,4:00:00
2011-02-24 2:00:00,1.27278,1.27049,1.27082,1.27251,0.4,EUDG_GDP,Short term,UP,0.000312,0.001080909091,2:00:00
2011-02-24 4:00:00,1.27692,1.2754,1.2755,1.27621,0.2,EUDI_RETAILSALES,Long term,DOWN,0.000312,-0.0006481818182,4:00:00
2011-02-25 3:00:00,1.28011,1.27878,1.27928,1.28011,6.8,EUDS_PPI,Short term,UP,0.0002025,0.0008122727273,3:00:00
2011-02-28 2:45:00,1.28068,1.27832,1.28001,1.27903,0.9,EUDF_PPI,Long term,RANGE,0.0004505,0.0003219272727,2:45:00
2011-02-28 5:00:00,1.2837,1.28253,1.28279,1.2834,2.3,EUDZ_CPI,Short term,RANGE,0.000221,0.000314154334,5:00:00
2011-03-01 1:45:00,1.28566,1.28365,1.28371,1.28566,0.9,CHF_GDP,Long term,UP,0.000167,0.000765,1:45:00
2011-03-01 4:00:00,1.28899,1.2881,1.2886,1.28857,8.6,EURI_UNEMP,Long term,DOWN,0.000167,-0.0006772727273,4:00:00
2011-03-03 1:30:00,1.28377,1.28196,1.28367,1.28251,9.2,EUDF_UNEMP,Short term,RANGE,0.0005075,0.0002896969697,1:30:00
2011-03-03 2:00:00,1.28254,1.28168,1.28242,1.28252,1.4,EUDG_RETAILSALES,Long term,RANGE,0.0005075,0.0003672954545,2:00:00
2011-03-03 3:15:00,1.28343,1.28227,1.28338,1.28255,-2.6,CHF_RETAILSALES,Short term,RANGE,0.0005075,0.0003263825758,3:15:00
2011-03-03 4:00:00,1.2835,1.28266,1.283,1.28335,1.1,EUDI_PPI,Long term,RANGE,0.0005075,0.0002660227273,4:00:00
2011-03-03 7:45:00,1.29708,1.29366,1.29379,1.29469,1,EUDZ_IR,Long term,UP,0.0005075,0.001764545455,7:45:00
2011-03-08 1:45:00,1.30305,1.30051,1.30058,1.30232,3.4,CHF_UNEMP,Long term,RANGE,0.0002695,0.0003083333333,1:45:00
2011-03-09 3:15:00,1.29509,1.29393,1.29393,1.29475,0.4,CHF_CPI,Long term,RANGE,0.0001995,0.0004817864693,3:15:00
2011-03-10 1:30:00,1.29122,1.2882,1.29106,1.28902,0.2,EUDF_PAYROLL,Long term,RANGE,0.000218,0.0003151398601,1:30:00
2011-03-10 3:00:00,1.29057,1.28927,1.28971,1.28944,-4.7,EUDS_RETAILSALES,Short term,UP,0.0002235,0.0007045454545,3:00:00
2011-03-11 2:00:00,1.29271,1.28908,1.2891,1.29102,0.5,EUDG_CPI,Long term,RANGE,0.0002235,0.0003370909091,2:00:00
2011-03-11 5:00:00,1.28832,1.28703,1.28786,1.28708,0.1,EUDI_GDP,Long term,RANGE,0.0002235,0.000315094697,5:00:00
2011-03-15 1:30:00,1.2849,1.28142,1.28268,1.28452,0.5,EUDF_CPI,Long term,DOWN,0.0002785,-0.001417727273,1:30:00
2011-03-16 4:00:00,1.28079,1.27915,1.28052,1.27973,0.3,EUDI_CPI,Short term,DOWN,0.000464,-0.0008159090909,4:00:00
2011-03-16 5:00:00,1.27783,1.27688,1.27762,1.27738,2.4,EUDZ_CPI,Long term,UP,0.000464,0.0007140909091,5:00:00
2011-03-17 3:30:00,1.26744,1.26506,1.26529,1.2663,0.25,CHF_IR,Long term,DOWN,0.000464,-0.00099,3:30:00
2011-03-18 2:00:00,1.27477,1.26964,1.27175,1.27111,0.7,EUDG_PPI,Long term,DOWN,0.0004245,-0.001291818182,2:00:00
