1/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,5.1,  ,4.3
1/5/2011,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.3,0.3,0.4
2/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,5.4,  ,5.1
2/2/2011,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.8,0.8,0.3
3/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,6.1,  ,5.4
3/2/2011,5:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,1.5,1,0.8
4/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,6.4,  ,6.1
4/4/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.8,0.9,vised From 1.5
5/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,6.4,  ,6.4
5/3/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.7,0.7,0.8
6/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,5.9,  ,6.4
6/6/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.9,0.8,vised From 0.7
7/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,5.5,  ,5.9
7/4/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.2,-0.1,0.9
8/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,5.8,  ,5.5
8/2/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,0,0.1,-0.2
9/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,5.7,  ,5.8
9/2/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.5,0.5,0
10/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,5.6,  ,5.7
10/4/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,-0.1,-0.2,0.5
11/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,5.5,  ,5.6
