1/1/2011,4:00:00,Switzerland                     ,Low Volatility Expected         ,CPI                                                                                                             ,,% ,0.5,  ,0.2
1/6/2011,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0,-0.2,0.2
2/1/2011,4:00:00,Switzerland                     ,Low Volatility Expected         ,CPI                                                                                                             ,,% ,0.3,  ,0.5
2/10/2011,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.4,-0.2,0
3/1/2011,4:00:00,Switzerland                     ,Low Volatility Expected         ,CPI                                                                                                             ,,% ,0.5,  ,0.3
3/9/2011,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0.4,0.3,-0.4
4/1/2011,4:00:00,Switzerland                     ,Low Volatility Expected         ,CPI                                                                                                             ,,% ,1,  ,0.5
4/6/2011,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0.6,0.2,0.4
5/1/2011,4:00:00,Switzerland                     ,Low Volatility Expected         ,CPI                                                                                                             ,,% ,0.3,  ,1
5/10/2011,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.1,0.5,0.6
6/1/2011,4:00:00,Switzerland                     ,Low Volatility Expected         ,CPI                                                                                                             ,,% ,0.4,  ,0.3
6/7/2011,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0,-0.1,0.1
7/1/2011,4:00:00,Switzerland                     ,Low Volatility Expected         ,CPI                                                                                                             ,,% ,0.6,  ,0.4
7/7/2011,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,-0.2,-0.2,0
8/1/2011,4:00:00,Switzerland                     ,Low Volatility Expected         ,CPI                                                                                                             ,,% ,0.5,  ,0.6
8/5/2011,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.8,-0.5,-0.2
9/1/2011,4:00:00,Switzerland                     ,Low Volatility Expected         ,CPI                                                                                                             ,,% ,0.2,  ,0.5
9/6/2011,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.3,-0.2,-0.8
10/1/2011,4:00:00,Switzerland                     ,Low Volatility Expected         ,CPI                                                                                                             ,,% ,0.5,  ,0.2
10/6/2011,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0.3,0.1,-0.3
