3/1/2011,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,GDP                                                                                                             ,Better Than Expected            ,% ,0.9,0.5,vised From 0.7
5/31/2011,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.3,0.6,vised From 0.9
9/1/2011,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,GDP                                                                                                             ,In Line with Expectation        ,% ,0.4,0.4,vised From 0.3
12/1/2011,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,GDP                                                                                                             ,In Line with Expectation        ,% ,0.2,0.2,vised From 0.4
3/1/2012,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,GDP                                                                                                             ,Better Than Expected            ,% ,0.1,-0.1,vised From 0.2
5/31/2012,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,GDP                                                                                                             ,Better Than Expected            ,% ,0.7,0.1,vised From 0.1
9/4/2012,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,GDP                                                                                                             ,Worse Than Expected             ,% ,-0.1,0.2,vised From 0.7
11/29/2012,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,GDP                                                                                                             ,Better Than Expected            ,% ,0.6,0.2,-0.1
2/28/2013,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,GDP                                                                                                             ,Better Than Expected            ,% ,0.2,-0.3,0.6
5/30/2013,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,GDP                                                                                                             ,Better Than Expected            ,% ,0.6,0.2,vised From 0.2
9/3/2013,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,GDP                                                                                                             ,Better Than Expected            ,% ,0.5,0.3,0.6
11/28/2013,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,GDP                                                                                                             ,Better Than Expected            ,% ,0.5,0.4,0.5
2014/02/27,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.2,0.4,0.5
