1/1/2011,4:00:00,Switzerland                     ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0.3,  ,0.1
1/14/2011,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.3,0.1,-0.2
2/1/2011,4:00:00,Switzerland                     ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0,  ,0.3
2/23/2011,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.1,0.1,0.3
3/1/2011,4:00:00,Switzerland                     ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0.5,  ,0
3/18/2011,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.2,0.4,0.1
4/1/2011,4:00:00,Switzerland                     ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0.4,  ,0.5
4/13/2011,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.4,0.4,0.2
5/1/2011,4:00:00,Switzerland                     ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0.1,  ,0.4
5/13/2011,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.3,0.4,0.4
6/1/2011,4:00:00,Switzerland                     ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-0.4,  ,0.1
6/15/2011,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.2,0.1,0.3
7/1/2011,4:00:00,Switzerland                     ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-0.4,  ,-0.4
7/13/2011,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.5,-0.3,-0.2
8/1/2011,4:00:00,Switzerland                     ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-0.6,  ,-0.4
8/15/2011,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.7,-0.6,-0.5
9/1/2011,4:00:00,Switzerland                     ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-1.9,  ,-0.6
9/14/2011,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-1.2,-0.3,-0.7
10/1/2011,4:00:00,Switzerland                     ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-2,  ,-1.9
10/13/2011,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,In Line with Expectation        ,% ,-0.1,-0.1,-1.2
11/1/2011,4:00:00,Switzerland                     ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-1.8,  ,-2
11/14/2011,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,-0.2,-0.3,-0.1
12/1/2011,4:00:00,Switzerland                     ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-2.4,  ,-1.8
12/14/2011,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.8,-0.2,-0.2
1/1/2012,4:00:00,Switzerland                     ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-2.3,  ,-2.4
1/16/2012,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.3,-0.3,-0.8
