1/10/2011,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,2.5,0.9,3.5
2/1/2011,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.4,2.6,vised From 2.5
3/3/2011,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-2.6,1.7,vised From -0.4
4/1/2011,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.5,-1.3,-2.6
5/2/2011,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.2,2.3,vised From 1.5
6/1/2011,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,7.5,1.9,-0.2
7/4/2011,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-4.1,4.6,vised From 7.5
8/2/2011,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,7.4,1.6,vised From -4.1
9/1/2011,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,1.9,4.6,vised From 7.4
10/3/2011,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-1.9,4.5,vised From 1.9
10/31/2011,4:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.9,2.3,vised From -1.9
12/2/2011,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.2,1.2,vised From -0.9
1/9/2012,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.8,0.5,vised From -0.2
2/1/2012,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.6,1.6,1.8
3/5/2012,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,4.4,2,vised From 0.6
4/2/2012,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.8,3.2,vised From 4.4
5/4/2012,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,4.2,1.2,0.8
6/1/2012,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.1,2,vised From 4.2
7/2/2012,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,6.2,5,vised From 0.1
8/2/2012,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,3.7,2,6.2
9/3/2012,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,3.2,4.3,vised From 3.7
10/1/2012,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,5.9,4.5,vised From 3.2
11/1/2012,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,5.4,4.2,vised From 5.9
12/3/2012,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,2.7,4.1,5.4
1/16/2013,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,2.9,3.2,2.7
2/8/2013,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,5.1,2,vised From 2.9
