1/1/2011,4:00:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate n.s.a.                                                                                        ,,% ,3.4,  ,3.3
1/7/2011,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.6,3.6,3.6
2/1/2011,4:00:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate n.s.a.                                                                                        ,,% ,3.4,  ,3.4
2/8/2011,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.5,3.5,vised From 3.6
3/1/2011,4:00:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate n.s.a.                                                                                        ,,% ,3.3,  ,3.4
3/8/2011,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.4,3.4,3.5
4/1/2011,4:00:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate n.s.a.                                                                                        ,,% ,3.1,  ,3.3
4/8/2011,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.3,3.3,3.4
5/1/2011,4:00:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate n.s.a.                                                                                        ,,% ,2.9,  ,3.1
5/6/2011,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,Better Than Expected            ,% ,3.1,3.2,3.3
6/1/2011,4:00:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate n.s.a.                                                                                        ,,% ,2.7,  ,2.9
6/8/2011,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3,3,3.1
7/1/2011,4:00:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate n.s.a.                                                                                        ,,% ,2.6,  ,2.7
7/8/2011,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3,3,3
8/1/2011,4:00:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate n.s.a.                                                                                        ,,% ,2.5,  ,2.6
8/8/2011,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3,3,3
9/1/2011,4:00:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate n.s.a.                                                                                        ,,% ,2.6,  ,2.5
9/8/2011,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3,3,3
10/1/2011,4:00:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate n.s.a.                                                                                        ,,% ,2.6,  ,2.6
10/7/2011,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3,3,3
11/1/2011,4:00:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate n.s.a.                                                                                        ,,% ,2.7,  ,2.6
11/7/2011,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3,3,3
12/1/2011,4:00:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate n.s.a.                                                                                        ,,% ,2.8,  ,2.7
12/7/2011,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,Better Than Expected            ,% ,3,3.1,3
