1/13/2011,1:30:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.5,0.4,0.1
2/23/2011,1:30:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.2,-0.1,0.5
3/15/2011,1:30:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0.5,0.6,-0.2
4/13/2011,0:30:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.8,0.6,0.5
5/12/2011,0:30:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0.3,0.5,0.8
6/15/2011,0:30:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.3
7/12/2011,0:30:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
8/12/2011,0:30:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.4,-0.3,0.1
9/13/2011,0:30:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.5,0.3,-0.4
10/12/2011,0:30:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.1,0.3,0.5
11/10/2011,1:30:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.2,0.1,-0.1
12/13/2011,1:30:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.3,0.3,0.2
1/12/2012,1:30:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.4,0.2,0.3
2/22/2012,1:30:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.4,0.3,0.4
3/13/2012,1:30:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.4,0.4,-0.4
