2/15/2011,1:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Worse Than Expected             ,% ,0.3,0.6,0.3
5/13/2011,0:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Better Than Expected            ,% ,1,0.6,vised From 0.3
8/12/2011,0:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Worse Than Expected             ,% ,0,0.3,vised From 1.0
11/15/2011,1:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Better Than Expected            ,% ,0.4,0.3,vised From 0.0
12/23/2011,1:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Worse Than Expected             ,% ,0.3,0.4,0.4
2/15/2012,1:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Better Than Expected            ,% ,0.2,-0.2,0.3
3/28/2012,0:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,0.2,0.2,0.2
5/15/2012,0:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,0,0,vised From 0.2
6/29/2012,0:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,0,0,0
8/14/2012,0:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Better Than Expected            ,% ,0,-0.1,0
9/28/2012,0:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,0,0,0
11/15/2012,1:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Better Than Expected            ,% ,0.2,0,vised From 0.0
12/28/2012,2:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Worse Than Expected             ,% ,0.1,0.2,0.2
2/14/2013,1:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Worse Than Expected             ,% ,-0.3,-0.2,0.1
3/27/2013,2:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,-0.3,-0.3,vised From -0.3
5/15/2013,0:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Worse Than Expected             ,% ,-0.2,-0.1,vised From -0.3
6/26/2013,1:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
8/14/2013,0:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Better Than Expected            ,% ,0.5,0.2,-0.2
9/27/2013,1:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
11/14/2013,1:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Worse Than Expected             ,% ,-0.1,0.1,0.5
12/24/2013,2:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2014/02/14,1:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Better Than Expected            ,% ,0.3,0.2,-0.1
2014/03/31,1:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,0.3,0.3,0.3
2014/05/15,0:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Worse Than Expected             ,% ,0,0.2,vised From 0.3
2014/06/27,1:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,0,0,0
2014/08/14,0:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Worse Than Expected             ,% ,0,0.1,0
2014/09/23,1:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,0,0,0
2014/11/14,1:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Better Than Expected            ,% ,0.3,0.1,-0.1
2014/12/23,2:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,0.3,0.3,vised From 0.3
2015/02/13,1:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.3
