2/11/2011,2:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.1
3/10/2011,1:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
5/13/2011,1:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Better Than Expected            ,% ,0.4,0.3,0.2
6/9/2011,0:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,0.4,0.4,0.4
8/12/2011,1:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Better Than Expected            ,% ,0.4,0.2,0.4
9/8/2011,0:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Worse Than Expected             ,% ,0.2,0.4,0.4
11/15/2011,2:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Worse Than Expected             ,% ,0,0.3,0.2
12/8/2011,1:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Worse Than Expected             ,% ,0,0.2,0
2/14/2012,2:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Worse Than Expected             ,% ,-0.2,0.2,0
3/8/2012,1:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,-0.1,-0.1,-0.2
5/15/2012,1:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Better Than Expected            ,% ,0.1,-0.2,-0.1
6/12/2012,0:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,0.1,0.1,0.1
8/14/2012,1:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,-0.1,-0.1,0.1
9/11/2012,0:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
11/13/2012,2:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Worse Than Expected             ,% ,-0.3,-0.2,-0.1
12/11/2012,1:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,-0.3,-0.3,-0.3
2/14/2013,2:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,-0.2,-0.2,-0.3
3/13/2013,1:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Worse Than Expected             ,% ,-0.3,-0.2,-0.2
5/16/2013,1:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Better Than Expected            ,% ,-0.1,-0.3,vised From -0.2
6/12/2013,0:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
8/14/2013,1:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Worse Than Expected             ,% ,-0.2,0,-0.1
9/11/2013,0:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
11/14/2013,2:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,-0.1,-0.1,-0.2
12/11/2013,1:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2014/02/14,2:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Better Than Expected            ,% ,0.1,-0.1,-0.1
2014/03/12,1:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,0.1,0.1,0.1
2014/05/16,1:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,-0.1,-0.1,0.1
2014/06/13,0:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2014/08/14,1:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Better Than Expected            ,% ,0.1,-0.1,-0.1
2014/09/10,0:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,0.1,0.1,0.1
2014/11/14,2:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Worse Than Expected             ,% ,-0.2,0.2,0.1
2014/12/10,1:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
2015/02/13,2:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Better Than Expected            ,% ,0,-0.1,-0.2
2015/03/11,1:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,0,0,0
2015/05/13,1:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Worse Than Expected             ,% ,-0.1,0,0
2015/06/11,0:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Better Than Expected            ,% ,0,-0.1,-0.1
2015/08/14,1:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Better Than Expected            ,% ,0.2,0.1,0
2015/09/10,0:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
2015/11/13,2:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,0.1,0.1,0.2
2015/12/10,1:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Worse Than Expected             ,% ,0,0.1,0.1
2016/02/12,2:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Better Than Expected            ,% ,0.2,0.1,0
2016/03/10,1:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
2016/05/13,1:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
2016/06/09,0:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Better Than Expected            ,% ,0.3,0.2,0.2
2016/08/12,1:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.3
2016/09/08,0:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
2016/11/10,2:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Better Than Expected            ,% ,0.3,0.2,0.2
2016/12/08,1:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,0.3,0.3,0.3
2017/02/10,2:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Better Than Expected            ,% ,0.4,0.3,0.3
2017/03/09,1:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,0.4,0.4,0.4
2017/05/12,1:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Better Than Expected            ,% ,0.3,0.2,0.4
2017/06/13,0:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Better Than Expected            ,% ,0.4,0.3,0.3
2017/08/11,1:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Better Than Expected            ,% ,0.5,0.4,0.4
2017/09/12,0:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Worse Than Expected             ,% ,0.4,0.5,0.5
2017/11/10,2:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Worse Than Expected             ,% ,0.2,0.3,0.4
2017/12/12,1:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
2018/02/13,2:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Better Than Expected            ,% ,0.3              ,0.20,0.20
2018/03/13,2:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,0.3              ,0.30,0.30
2018/05/15,2:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Worse Than Expected             ,% ,0.3              ,0.40,evised From 0.3
2018/06/12,1:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Worse Than Expected             ,% ,0.2              ,0.30,evised From 0.3
2018/08/10,1:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Worse Than Expected             ,% ,0.2              ,0.30,0.20
2018/09/11,0:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Worse Than Expected             ,% ,0.0              ,0.20,0.20
2018/11/13,2:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Worse Than Expected             ,% ,0.2              ,0.30,0.00
2018/12/11,1:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Worse Than Expected             ,% ,0.1              ,0.20,0.20
2019/02/08,3:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,0.1,0.1,0.1
2019/03/12,2:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Better Than Expected            ,% ,0.2,0.1,0.1
2019/05/10,2:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,0.3,0.2,0.2
2019/06/12,0:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,Better Than Expected            ,% ,0.4,0.3,0.3
2019/08/09,1:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,0.3,0.3,0.4
2019/09/10,0:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,,% ,0.2,,0.4
2019/11/08,2:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,,% ,0.3,,0.2
2019/12/10,1:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,,% ,0.2,,0.3
2020/02/07,3:45:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
2020/03/10,2:30:00,France                          ,Moderate Volatility Expected    ,French Non-Farm Payrolls                                                                                        ,,% ,0.4,,0.2
