1/1/2011,4:00:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,,% ,0.5,  ,0.5
2/1/2011,2:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,Better Than Expected            ,% ,1,0.4,0.4
2/28/2011,2:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,In Line with Expectation        ,% ,0.9,0.9,vised From 1.0
3/31/2011,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,In Line with Expectation        ,% ,0.8,0.8,0.9
4/29/2011,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,Better Than Expected            ,% ,0.9,0.7,0.8
5/31/2011,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,In Line with Expectation        ,% ,0.8,0.8,0.9
6/30/2011,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,Worse Than Expected             ,% ,-0.5,0.2,0.8
7/29/2011,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.5
9/30/2011,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,Better Than Expected            ,% ,0,-0.2,-0.1
10/31/2011,2:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,Better Than Expected            ,% ,0.2,0.1,0
11/30/2011,2:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,Better Than Expected            ,% ,0.5,0.2,vised From 0.2
12/23/2011,2:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,Better Than Expected            ,% ,0.4,0,0.5
1/31/2012,2:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,Worse Than Expected             ,% ,-0.1,0.1,0.4
2/27/2012,2:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,Better Than Expected            ,% ,0.6,0.3,-0.1
3/30/2012,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,Better Than Expected            ,% ,0.8,0.5,vised From 0.6
4/27/2012,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,Worse Than Expected             ,% ,0.5,0.6,vised From 0.8
5/31/2012,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,Worse Than Expected             ,% ,-0.1,0.2,0.5
6/29/2012,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,Worse Than Expected             ,% ,-1,-0.5,-0.1
7/31/2012,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,Worse Than Expected             ,% ,-0.9,-0.4,-1
9/28/2012,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,Worse Than Expected             ,% ,0.4,0.7,-0.9
10/31/2012,2:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,Better Than Expected            ,% ,0.3,0.1,vised From 0.4
11/30/2012,2:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,Better Than Expected            ,% ,0.5,0.4,vised From 0.3
12/27/2012,2:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,Worse Than Expected             ,% ,-0.5,-0.2,0.5
1/31/2013,2:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,Worse Than Expected             ,% ,-0.3,-0.2,-0.5
2/28/2013,2:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,Better Than Expected            ,% ,0.5,0.2,vised From -0.3
3/29/2013,2:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,Better Than Expected            ,% ,0.4,0.3,vised From 0.5
4/30/2013,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,Better Than Expected            ,% ,0,-0.1,vised From 0.4
5/31/2013,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,Worse Than Expected             ,% ,-0.9,-0.2,0
