1/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German CPI                                                                                                      ,,% ,1.3,  ,1.5
1/14/2011,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,1,1,1
1/27/2011,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,-0.5,-0.3,1
2/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German CPI                                                                                                      ,,% ,1.7,  ,1.3
2/11/2011,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,-0.4,-0.5,-0.5
2/25/2011,8:20:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,-0.4
3/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German CPI                                                                                                      ,,% ,1.9,  ,1.7
3/11/2011,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
3/29/2011,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.5,0.4,0.5
4/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German CPI                                                                                                      ,,% ,2,  ,1.9
4/12/2011,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
4/27/2011,7:10:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.2,0.2,0.5
5/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German CPI                                                                                                      ,,% ,1.9,  ,2
5/11/2011,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,0.2,0.3,0.2
5/27/2011,7:20:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0.2
6/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German CPI                                                                                                      ,,% ,2,  ,1.9
6/10/2011,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0
6/28/2011,7:30:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0
7/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German CPI                                                                                                      ,,% ,2.1,  ,2
7/12/2011,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
7/27/2011,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.4,0.3,0.1
8/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German CPI                                                                                                      ,,% ,2.1,  ,2.1
8/10/2011,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.4,0.4,0.4
8/29/2011,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,-0.1,0,0.4
9/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German CPI                                                                                                      ,,% ,2.1,  ,2.1
9/9/2011,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0,-0.1,-0.1
9/28/2011,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.1,-0.1,0
10/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German CPI                                                                                                      ,,% ,2.4,  ,2.1
10/13/2011,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
10/27/2011,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,0,0.1,0.1
11/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German CPI                                                                                                      ,,% ,2.3,  ,2.4
11/10/2011,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0
11/28/2011,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,0,0.1,0
12/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German CPI                                                                                                      ,,% ,2.4,  ,2.3
12/9/2011,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0
12/29/2011,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,0.7,0.8,0
1/1/2012,4:00:00,Germany                         ,Low Volatility Expected         ,German CPI                                                                                                      ,,% ,2,  ,2.4
1/12/2012,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.7,0.7,0.7
1/30/2012,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,-0.4,-0.5,0.7
2/1/2012,4:00:00,Germany                         ,Low Volatility Expected         ,German CPI                                                                                                      ,,% ,2.1,  ,2
2/10/2012,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.4,-0.4,-0.4
2/28/2012,8:30:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.7,0.5,-0.4
3/1/2012,4:00:00,Germany                         ,Low Volatility Expected         ,German CPI                                                                                                      ,,% ,2.2,  ,2.1
3/9/2012,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.7,0.7,0.7
3/28/2012,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.3,0.3,0.7
4/1/2012,4:00:00,Germany                         ,Low Volatility Expected         ,German CPI                                                                                                      ,,% ,2.2,  ,2.2
4/13/2012,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.3,0.3,0.3
4/26/2012,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.3
5/11/2012,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.2,0.1,0.1
5/29/2012,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,-0.2,-0.1,0.2
6/13/2012,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
6/27/2012,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,-0.1,0,-0.2
7/11/2012,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
7/27/2012,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.4,0.4,-0.1
8/10/2012,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.4,0.4,0.4
8/29/2012,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.3,0.2,0.4
9/12/2012,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.4,0.3,0.3
9/26/2012,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0.4
10/11/2012,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0.4
10/29/2012,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0
11/9/2012,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0
11/28/2012,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,0
12/12/2012,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
1/2/2013,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.9,0.7,-0.1
1/15/2013,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.9,0,0.9
1/31/2013,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,-0.5,-0.4,0.9
2/20/2013,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.5,-0.5,-0.5
2/28/2013,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,0.6,0.7,-0.5
3/12/2013,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.6,0.6,0.6
4/2/2013,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.5,0.4,0.6
4/11/2013,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
4/29/2013,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.5,-0.2,0.5
5/14/2013,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.5,-0.5,-0.5
5/29/2013,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.4,0.2,-0.5
6/12/2013,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.4,0.4,0.4
6/28/2013,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.4
7/10/2013,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
7/30/2013,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.5,0.3,0.1
8/13/2013,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
8/29/2013,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,0,0.1,0.5
9/11/2013,1:00:00,Germany                         ,Low Volatility Expected         ,German CPI                                                                                                      ,In Line with Expectation        ,% ,1.5,1.5,1.5
9/27/2013,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0
10/11/2013,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0
10/30/2013,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,-0.2,0.1,0
