2/15/2011,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,Worse Than Expected             ,% ,0.4,0.5,0.7
2/24/2011,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,0.4,0.4,0.4
5/13/2011,1:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,Better Than Expected            ,% ,1.5,0.9,0.4
5/24/2011,1:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,1.5,1.5,1.5
8/16/2011,1:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,Worse Than Expected             ,% ,0.1,0.5,vised From 1.5
9/1/2011,1:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
11/15/2011,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,vised From 0.1
11/24/2011,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
2/15/2012,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,Better Than Expected            ,% ,-0.2,-0.3,vised From 0.5
2/24/2012,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
5/15/2012,1:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,Better Than Expected            ,% ,0.5,0.1,-0.2
5/24/2012,1:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
8/14/2012,1:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,Better Than Expected            ,% ,0.3,0.2,0.5
8/23/2012,1:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,0.3,0.3,0.3
11/15/2012,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,0.2,0.2,0.3
11/23/2012,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,0.2,0.2,0.2
2/14/2013,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,Worse Than Expected             ,% ,-0.6,-0.5,0.2
2/22/2013,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,-0.6,-0.6,-0.6
5/15/2013,1:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,Worse Than Expected             ,% ,0.1,0.3,vised From -0.6
5/24/2013,1:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
8/14/2013,1:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,Better Than Expected            ,% ,0.7,0.6,0.1
