1/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German PPI                                                                                                      ,,% ,4.9,  ,4.2
1/20/2011,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.7,0.5,0.2
2/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German PPI                                                                                                      ,,% ,5.3,  ,4.9
2/18/2011,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,1.2,0.6,0.7
3/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German PPI                                                                                                      ,,% ,6.1,  ,5.3
3/18/2011,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,In Line with Expectation        ,% ,0.7,0.7,1.2
4/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German PPI                                                                                                      ,,% ,6.2,  ,6.1
4/20/2011,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,0.4,0.8,0.7
5/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German PPI                                                                                                      ,,% ,6.1,  ,6.2
5/20/2011,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,1,0.6,0.4
6/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German PPI                                                                                                      ,,% ,5.6,  ,6.1
6/20/2011,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,0,0.2,1
7/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German PPI                                                                                                      ,,% ,5.1,  ,5.6
7/20/2011,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0
8/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German PPI                                                                                                      ,,% ,5.3,  ,5.1
8/19/2011,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.7,0.1,0.1
9/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German PPI                                                                                                      ,,% ,5.2,  ,5.3
