1/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German Retail Sales                                                                                             ,,% ,-0.2,  ,3.4
1/7/2011,2:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,-2.4,1.1,vised From 2.3
1/31/2011,2:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,-0.3,1.9,vised From -2.4
2/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German Retail Sales                                                                                             ,,% ,3.3,  ,-0.2
3/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German Retail Sales                                                                                             ,,% ,3,  ,3.3
3/3/2011,2:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Better Than Expected            ,% ,1.4,0.5,vised From -0.3
3/31/2011,1:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,-0.3,0.4,vised From 1.4
4/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German Retail Sales                                                                                             ,,% ,-2.9,  ,3
4/29/2011,1:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,-2.1,0.1,vised From -0.3
5/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German Retail Sales                                                                                             ,,% ,4.8,  ,-2.9
5/31/2011,1:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,0.6,1.7,vised From -2.1
6/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German Retail Sales                                                                                             ,,% ,4.5,  ,4.8
6/30/2011,1:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,-2.8,0.7,vised From 0.6
7/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German Retail Sales                                                                                             ,,% ,-2,  ,4.5
7/29/2011,1:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Better Than Expected            ,% ,6.3,1.7,-2.8
8/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German Retail Sales                                                                                             ,,% ,-2.4,  ,-2
8/31/2011,1:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Better Than Expected            ,% ,0,-1.5,vised From 6.3
9/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German Retail Sales                                                                                             ,,% ,3.4,  ,-2.4
9/30/2011,1:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,-2.9,-0.5,vised From 0.0
10/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German Retail Sales                                                                                             ,,% ,1.2,  ,3.4
10/31/2011,2:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,0.4,1.1,vised From -2.9
11/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German Retail Sales                                                                                             ,,% ,-0.4,  ,1.2
11/30/2011,2:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Better Than Expected            ,% ,0.7,0.1,vised From 0.4
12/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German Retail Sales                                                                                             ,,% ,0.9,  ,-0.4
1/1/2012,4:00:00,Germany                         ,Low Volatility Expected         ,German Retail Sales                                                                                             ,,% ,0.8,  ,0.9
1/5/2012,2:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,-0.9,0.1,vised From 0.7
1/31/2012,2:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,-1.4,0.8,vised From -0.9
2/1/2012,4:00:00,Germany                         ,Low Volatility Expected         ,German Retail Sales                                                                                             ,,% ,2,  ,0.8
3/1/2012,4:00:00,Germany                         ,Low Volatility Expected         ,German Retail Sales                                                                                             ,,% ,2.5,  ,2
3/2/2012,2:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,-1.6,0.5,vised From -1.4
3/30/2012,1:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,-1.1,1.2,vised From -1.6
4/30/2012,1:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,0.8,1,vised From -1.1
5/31/2012,1:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Better Than Expected            ,% ,0.6,0.1,vised From 0.8
6/29/2012,1:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,-0.3,0.1,vised From 0.6
7/31/2012,1:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,-0.1,0.5,-0.3
8/31/2012,1:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,-0.9,0.2,vised From -0.1
9/28/2012,1:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,0.3,0.6,vised From -0.9
10/31/2012,2:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Better Than Expected            ,% ,1.5,0.3,vised From 0.3
11/30/2012,2:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,-2.8,-0.2,vised From 1.5
1/4/2013,2:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Better Than Expected            ,% ,1.2,0.8,vised From -2.8
1/31/2013,2:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,-1.7,-0.1,vised From 1.2
3/1/2013,2:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Better Than Expected            ,% ,3.1,1,vised From -1.7
3/28/2013,2:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Better Than Expected            ,% ,0.4,-1,vised From 3.1
4/30/2013,1:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,-0.3,0.1,vised From 0.4
5/31/2013,1:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,-0.4,0.2,vised From -0.5
6/28/2013,1:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Better Than Expected            ,% ,0.8,0.2,vised From -0.4
7/31/2013,1:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,-1.5,0.4,vised From 0.8
8/30/2013,1:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,-1.4,0.5,vised From -1.5
9/30/2013,1:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,0.5,0.8,vised From -1.4
10/31/2013,2:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,-0.4,0.4,vised From 0.5
11/29/2013,2:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,-0.8,0.5,vised From -0.4
2019/01/07,2:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Better Than Expected            ,% ,1.4,0.4,evised From -0.3
2019/01/31,2:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,-4.3,-0.5,1.4
2019/03/01,3:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Better Than Expected            ,% ,3.3,1.9,-4.3
2019/03/29,3:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Better Than Expected            ,% ,0.9,-1,evised From 3.3
2019/05/02,2:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Better Than Expected            ,% ,-0.2,-0.4,0.9
2019/05/31,2:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,-2,0.4,-0.2
2019/07/02,1:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,-0.6,0.5,-2
2019/07/31,1:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Better Than Expected            ,% ,3.5,0.5,evised From -0.6
2019/08/30,1:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,-2.1,-1.3,evised From 3.5
2019/09/30,1:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,In Line with Expectation        ,% ,0.5,0.5,evised From -2.2
2019/10/31,2:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,0.1,0.3,evised From 0.5
2019/11/29,2:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,,% ,-1.9,,0.1
2020/01/06,2:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Better Than Expected            ,% ,2.1,1.1,evised From -1.9
2020/01/31,2:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,-3.3,-0.5,evised From 2.1
2020/03/04,3:00:00,Germany                         ,Moderate Volatility Expected    ,German Retail Sales                                                                                             ,Worse Than Expected             ,% ,0.9,1,evised From -3.3
