1/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,3.12,  ,3.12
1/4/2011,3:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Worse Than Expected             ,K  ,3,-14,"vised From -9K>-8                                 """
2/1/2011,3:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Better Than Expected            ,K  ,-13,-10,"vised From 3K>1                                   """
2/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,3.12,  ,3.12
3/1/2011,3:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Better Than Expected            ,K  ,-52,-13,"vised From -13K>-18                               """
3/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,3.07,  ,3.12
3/31/2011,2:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Better Than Expected            ,K  ,-55,-29,"vised From -52K>-54                               """
4/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,3.04,  ,3.07
4/28/2011,2:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Better Than Expected            ,K  ,-37,-36,-55
5/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,3,  ,3.04
5/31/2011,2:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Worse Than Expected             ,K  ,-8,-31,"vised From -37K>-33                               """
6/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.98,  ,3
6/30/2011,2:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Worse Than Expected             ,K  ,-8,-17,-8
7/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.97,  ,2.98
7/28/2011,2:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Worse Than Expected             ,K  ,-11,-15,-8
8/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.96,  ,2.97
8/31/2011,2:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Worse Than Expected             ,K  ,-8,-10,"vised From -11K>-10                               """
9/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.95,  ,2.96
9/29/2011,2:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Better Than Expected            ,K  ,-26,-9,"vised From -8K>-9                                 """
10/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.91,  ,2.95
11/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.91,  ,2.91
11/2/2011,3:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Worse Than Expected             ,K  ,10,-10,"vised From -26K>-22                               """
11/30/2011,3:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Better Than Expected            ,K  ,-20,-5,"vised From 10K>6                                  """
12/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.89,  ,2.91
1/1/2012,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.87,  ,2.89
1/3/2012,3:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Better Than Expected            ,K  ,-22,-10,"vised From -20K>-23                               """
1/31/2012,3:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Better Than Expected            ,K  ,-34,-7,"vised From -22K>-25                               """
2/1/2012,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.88,  ,2.87
2/29/2012,3:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Worse Than Expected             ,K  ,0,-5,"vised From -34K>-26                               """
3/1/2012,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.88,  ,2.88
3/29/2012,2:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Better Than Expected            ,K  ,-18,-10,"vised From 0K>-3                                  """
4/1/2012,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.87,  ,2.88
5/1/2012,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.89,  ,2.87
5/2/2012,2:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Worse Than Expected             ,K  ,19,-10,-18
5/31/2012,2:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Worse Than Expected             ,K  ,0,-5,"vised From 19K>18                                 """
6/1/2012,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.88,  ,2.89
6/28/2012,2:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Worse Than Expected             ,K  ,7,5,0
7/1/2012,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.89,  ,2.88
7/31/2012,2:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Better Than Expected            ,K  ,7,10,7
8/1/2012,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.9,  ,2.89
8/30/2012,2:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Worse Than Expected             ,K  ,9,8,"vised From 7K>9                                   """
9/1/2012,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.91,  ,2.9
9/27/2012,2:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Better Than Expected            ,K  ,9,10,"vised From 9K>11                                  """
10/1/2012,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.9,  ,2.91
10/30/2012,3:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Worse Than Expected             ,K  ,20,10,"vised From 9K>12                                  """
11/1/2012,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.92,  ,2.9
11/29/2012,3:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Better Than Expected            ,K  ,5,15,"vised From 20K>19                                 """
12/1/2012,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.92,  ,2.92
1/1/2013,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.93,  ,2.92
1/3/2013,3:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Better Than Expected            ,K  ,3,10,5
1/31/2013,3:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Better Than Expected            ,K  ,-16,8,"vised From 3K>-2                                  """
2/1/2013,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.93,  ,2.93
2/28/2013,3:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Worse Than Expected             ,K  ,-3,-5,"vised From -16K>-14                               """
3/1/2013,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.93,  ,2.93
3/28/2013,3:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Worse Than Expected             ,K  ,13,-4,-3
4/1/2013,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.95,  ,2.93
4/30/2013,2:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Worse Than Expected             ,K  ,4,2,13
5/1/2013,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.96,  ,2.95
5/29/2013,2:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Worse Than Expected             ,K  ,21,5,"vised From 4K>6                                   """
6/1/2013,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.96,  ,2.96
6/27/2013,2:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Better Than Expected            ,K  ,-12,8,"vised From 21K>17                                 """
7/1/2013,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.95,  ,2.96
7/31/2013,2:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Better Than Expected            ,K  ,-7,-4,"vised From -12K>-13                               """
8/1/2013,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.94,  ,2.95
8/29/2013,2:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Worse Than Expected             ,K  ,7,-5,-7
9/1/2013,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.94,  ,2.94
10/1/2013,2:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Worse Than Expected             ,K  ,25,-5,"vised From 7K>9                                   """
10/1/2013,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.96,  ,2.94
10/30/2013,3:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Better Than Expected            ,K  ,2,5,"vised From 25K>24                                 """
11/1/2013,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.96,  ,2.96
11/28/2013,3:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Worse Than Expected             ,K  ,10,1,"vised From 2K>3                                   """
12/1/2013,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.97,  ,2.96
2014/01/01,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.96,,2.97
2014/01/07,3:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Better Than Expected            ,K  ,-15,-1,"vised From 10K>9                                  """
2014/01/30,3:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Better Than Expected            ,K  ,-28,-5,"vised From -15K>-19                               """
2014/02/01,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.93,,2.96
2014/02/27,3:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Better Than Expected            ,K  ,-14,-10,-28
2014/03/01,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.92,,2.93
2014/04/01,2:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Better Than Expected            ,K  ,-12,-10,"vised From -14K>-15                               """
2014/04/01,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.91,,2.92
2014/04/30,2:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Better Than Expected            ,K  ,-25,-10,"vised From -12K>-14                               """
2014/05/01,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.89,,2.91
2014/05/28,2:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Worse Than Expected             ,K  ,24,-15,-25
2014/06/01,4:00:00,Germany                         ,Low Volatility Expected         ,German Unemployment                                                                                             ,,M  ,2.91,,2.89
2014/07/01,2:55:00,Germany                         ,High Volatility Expected        ,German Unemployment Change                                                                                      ,Worse Than Expected             ,K  ,9,-10,"vised From 24K>25                                 """
