1/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian CPI                                                                                                     ,,% ,1.9,  ,1.7
1/4/2011,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.4,0.2,0
1/14/2011,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.4,0.4,0.4
2/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian CPI                                                                                                     ,,% ,2.1,  ,1.9
2/4/2011,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.4,0.3,0.4
2/23/2011,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.4,0.4,0.4
3/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian CPI                                                                                                     ,,% ,2.4,  ,2.1
3/1/2011,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.3,0.2,0.4
3/16/2011,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.3,0.3,vised From 0.3
3/31/2011,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.4,0.4,0.3
4/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian CPI                                                                                                     ,,% ,2.5,  ,2.4
4/15/2011,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.4,0.4,0.4
4/29/2011,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.5,0.3,0.4
5/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian CPI                                                                                                     ,,% ,2.6,  ,2.5
5/16/2011,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.5,0.5,0.5
5/31/2011,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.1,0.2,0.5
6/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian CPI                                                                                                     ,,% ,2.6,  ,2.6
6/16/2011,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0.1
6/30/2011,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.1,0.2,0.1
7/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian CPI                                                                                                     ,,% ,2.7,  ,2.6
7/14/2011,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0.1
7/29/2011,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.3,0.2,0.1
8/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian CPI                                                                                                     ,,% ,2.7,  ,2.7
