2/15/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,0.1,0.2,0.3
3/11/2011,5:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0.1
5/13/2011,3:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,0.1,0.3,0.1
6/10/2011,3:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0.1
8/5/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,0.3,0.3,0.1
9/9/2011,3:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,0.3,0.3,0.3
12/21/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,-0.2,-0.1,0.3
2/15/2012,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,-0.7,-0.6,-0.2
3/12/2012,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,-0.7,-0.7,-0.7
5/15/2012,3:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,-0.8,-0.6,-0.7
6/11/2012,3:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,-0.8,-0.8,-0.8
8/7/2012,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,-2.5,-2.3,-1.4
9/10/2012,3:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,-2.6,-2.5,vised From -2.5
10/9/2012,3:30:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,-0.8,-0.7,-0.7
11/15/2012,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Better Than Expected            ,% ,-2.4,-2.9,vised From -2.6
12/10/2012,5:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
2/14/2013,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,-0.9,-0.6,-0.2
3/11/2013,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,-2.8,-2.7,vised From -2.7
5/15/2013,3:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,-0.5,-0.3,-0.9
6/10/2013,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,-2.4,-2.3,vised From -2.3
8/6/2013,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Better Than Expected            ,% ,-0.2,-0.4,-0.6
9/10/2013,3:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,-0.3,-0.2,vised From -0.2
11/14/2013,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,-1.9,-1.8,vised From -2.1
12/10/2013,5:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Better Than Expected            ,% ,0,-0.1,-0.1
2014/02/14,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0
2014/03/11,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,-0.9,-0.8,vised From -0.8
2014/05/15,3:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,-0.5,-0.1,-0.9
2014/06/10,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2014/08/06,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,-0.2,0.2,-0.1
2014/08/29,5:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Better Than Expected            ,% ,-0.2,-0.3,vised From -0.3
2014/11/14,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,-0.1,-0.1,-0.2
2014/12/01,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2015/02/13,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Better Than Expected            ,% ,0,-0.1,-0.1
2015/03/05,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,0,0,0
2015/05/13,3:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Better Than Expected            ,% ,0,-0.2,-0.5
2015/05/29,3:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Better Than Expected            ,% ,0.1,0,0.1
2015/08/14,3:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,0.5,0.5,0.1
2015/09/01,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Better Than Expected            ,% ,0.7,0.5,evised From 0.5
2015/11/13,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,0.9,1,evised From 0.7
2015/12/01,5:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,0.8,0.9,evised From 0.9
2016/02/12,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,0.1,0.3,0.2
2016/03/04,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0.1
2016/05/13,3:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Better Than Expected            ,% ,1,0.9,evised From 1.0
2016/05/31,5:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,1,1,1
2016/08/12,3:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,0.7,0.8,1
2016/09/02,3:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,0,0,0
2016/11/15,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Better Than Expected            ,% ,0.3,0.2,0
2016/12/01,5:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,0.3,0.3,0.3
2017/02/14,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Better Than Expected            ,% ,1.1,1,evised From 1.0
2017/03/03,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0.2
2017/05/16,3:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0.2
2017/06/01,3:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Better Than Expected            ,% ,0.4,0.2,evised From 0.2
2017/08/16,3:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,0.4,0.4,0.4
2017/09/01,3:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,0.4,0.4,0.4
2017/11/14,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Better Than Expected            ,% ,0.5,0.4,evised From 0.4
2017/12/01,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,0.4,0.5,evised From 0.5
2018/02/14,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,0.3              ,0.40,0.40
2018/03/02,5:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,1.6              ,1.60,1.80
2018/05/02,5:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,1.4              ,1.40,1.60
2018/06/01,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,0.3              ,0.30,0.30
2018/07/31,6:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,1.1              ,1.20,1.40
2018/08/31,6:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,0.2              ,0.20,0.20
2018/10/30,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,0.0              ,0.20,0.20
2018/11/30,6:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,-0.1             ,0.20,0.20
2019/01/31,5:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,0.1,0.3,evised From 0.7
2019/03/05,5:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,0,0.1,0.1
2019/04/30,6:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Better Than Expected            ,% ,0.1,-0.1,0.6
2019/05/31,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,-0.1,0.1,0.1
2019/07/31,5:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Better Than Expected            ,% ,0,-0.2,-0.1
2019/08/30,5:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,0,0,0.1
2019/10/31,6:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Better Than Expected            ,% ,0.1,-0.1,0.1
2019/11/29,6:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0.1
2020/01/31,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,0,0.3,evised From 0.3
2020/03/04,5:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,In Line with Expectation        ,% ,-0.3,-0.3,0.1
2020/04/30,6:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Better Than Expected            ,% ,-4.8,-5.1,0.1
2020/05/29,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,-5.4,-4.8,evised From 0.1
2020/07/31,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Better Than Expected            ,% ,-12.4,-15,evised From -5.3
2020/08/31,4:00:00,Italy                           ,Low Volatility Expected         ,Italian GDP                                                                                                     ,Worse Than Expected             ,% ,-17.7,-17.3,evised From -5.4
