1/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,0.5,  ,0.4
1/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,3.9,  ,3.4
2/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,4,  ,3.9
2/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,1.2,  ,0.5
3/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,4.3,  ,4
3/3/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Better Than Expected            ,% ,1.1,0.9,0.6
3/31/2011,3:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,0.6,0.8,vised From 1.1
4/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,4.8,  ,4.3
4/29/2011,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,0.7,  ,0.6
5/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,4.8,  ,4.8
5/31/2011,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,0.6,0.9,0.7
6/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,4.3,  ,4.8
6/28/2011,3:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,-0.1,0.1,0.6
7/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,4.3,  ,4.3
7/29/2011,3:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Better Than Expected            ,% ,0.1,-0.1,-0.1
8/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,4.9,  ,4.3
8/31/2011,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,In Line with Expectation        ,% ,0.3,0.3,vised From 0.1
9/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,5,  ,4.9
