1/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,-5.17,  ,0.92
1/26/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.3,0.1,0.3
2/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,-0.53,  ,-5.17
2/24/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,In Line with Expectation        ,% ,0.2,0.2,-0.3
3/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,0.12,  ,-0.53
3/25/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.3,0.4,0.2
4/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,-1.87,  ,0.12
4/22/2011,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,0.1,0.2,-0.3
5/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,3.31,  ,-1.87
5/25/2011,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.2,-0.1,0.1
6/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,-0.3,  ,3.31
6/24/2011,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Better Than Expected            ,% ,0.4,-0.1,-0.2
7/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,-0.63,  ,-0.3
7/22/2011,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.1,0.3,vised From 0.4
8/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,-1.69,  ,-0.63
8/30/2011,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.2,0.2,vised From -0.1
9/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,0.11,  ,-1.69
9/23/2011,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.1,0.3,vised From -0.2
10/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,-1.13,  ,0.11
10/25/2011,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,0,0.1,-0.1
11/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,-0.85,  ,-1.13
11/25/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.4,-0.2,vised From 0.0
12/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,-1.52,  ,-0.85
12/22/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Better Than Expected            ,% ,0.1,-0.2,vised From -0.4
1/1/2012,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,-3.2,  ,-1.52
1/25/2012,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.3,-0.2,vised From 0.1
2/1/2012,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,-0.85,  ,-3.2
2/24/2012,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-1.1,-0.2,vised From -0.3
3/1/2012,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,0.73,  ,-0.85
3/23/2012,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Better Than Expected            ,% ,0.7,0.2,vised From -1.1
4/1/2012,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,2.33,  ,0.73
