1/1/2011,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,3,  ,2.3
2/1/2011,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,3.3,  ,3
3/1/2011,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,3.6,  ,3.3
4/1/2011,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,3.6,  ,3.6
5/1/2011,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,3.8,  ,3.6
6/1/2011,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,3.5,  ,3.8
7/1/2011,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,3.2,  ,3.5
8/1/2011,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,3.1,  ,3.2
9/1/2011,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,3,  ,3.1
10/1/2011,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,3.1,  ,3
11/1/2011,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,3,  ,3.1
12/1/2011,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,2.9,  ,3
1/1/2012,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,2.4,  ,2.9
2/1/2012,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,2,  ,2.4
3/1/2012,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,2,  ,2
4/1/2012,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,1.9,  ,2
4/13/2012,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,0.7,0.7,0.1
5/1/2012,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,2.1,  ,1.9
5/11/2012,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,1.4,1.3,0.7
6/1/2012,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,1.9,  ,2.1
6/13/2012,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,-0.1,-0.2,1.4
7/1/2012,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,1.9,  ,1.9
7/13/2012,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,-0.2,-0.2,-0.1
8/1/2012,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,2.2,  ,1.9
8/14/2012,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
9/1/2012,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,2.7,  ,2.2
9/12/2012,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,0.6,0.6,-0.2
10/1/2012,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,3.4,  ,2.7
10/11/2012,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,1,1.1,0.6
11/1/2012,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,3.5,  ,3.4
11/13/2012,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,0.8,0.9,1
12/1/2012,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,2.9,  ,3.5
12/13/2012,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,-0.1,-0.2,0.8
1/1/2013,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,2.9,  ,2.9
1/15/2013,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,-0.1
2/1/2013,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,2.7,  ,2.9
2/15/2013,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,-1.3,-1.4,0.1
3/1/2013,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,2.8,  ,2.7
3/13/2013,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,0.2,0.1,-1.3
4/1/2013,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,,% ,2.4,  ,2.8
4/12/2013,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,0.4,0.3,0.2
