2/16/2011,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0
5/18/2011,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,Better Than Expected            ,% ,0.3,0.2,0.2
8/26/2011,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0.3
11/16/2011,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0,0,0.2
1/30/2012,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,-0.3,-0.3,0
2/16/2012,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,-0.3,-0.3,-0.3
4/30/2012,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,Better Than Expected            ,% ,-0.3,-0.4,-0.3
5/17/2012,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,-0.3,-0.3,-0.3
7/30/2012,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,-0.4,-0.4,-0.3
8/28/2012,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,-0.4,-0.4,vised From -0.4
10/30/2012,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,Better Than Expected            ,% ,-0.3,-0.4,-0.4
11/15/2012,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,-0.3,-0.3,-0.3
1/30/2013,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,Worse Than Expected             ,% ,-0.7,-0.6,-0.3
2/28/2013,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,Worse Than Expected             ,% ,-0.8,-0.7,-0.7
4/30/2013,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,-0.5,-0.5,-0.8
5/30/2013,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,-0.5,-0.5,vised From -0.5
7/30/2013,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,-0.1,-0.1,-0.5
8/29/2013,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,-0.1,-0.1,vised From -0.1
10/30/2013,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,-0.1
11/28/2013,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0.1
2014/01/30,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.3,0.3,0.1
2014/02/27,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,Worse Than Expected             ,% ,0.2,0.3,0.3
2014/04/30,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.4,0.4,0.2
2014/05/29,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.4,0.4,0.4
2014/07/30,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,Better Than Expected            ,% ,0.6,0.5,0.4
2014/08/28,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.6,0.6,0.6
2014/10/30,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.5,0.5,0.6
2014/11/27,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.5,0.5,0.5
2015/01/30,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,Better Than Expected            ,% ,0.7,0.6,0.5
2015/02/26,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.7,0.7,0.7
2015/04/30,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,Better Than Expected            ,% ,0.9,0.8,0.7
2015/05/28,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.9,0.9,0.9
2015/07/30,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,1,1,0.9
2015/08/27,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,1,1,1
2015/10/30,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.8,0.8,1
2015/11/26,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.8,0.8,0.8
