1/25/2011,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Better Than Expected            ,% ,5.3,5,4.4
2/25/2011,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Better Than Expected            ,% ,6.8,5.5,5.3
3/25/2011,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Better Than Expected            ,% ,7.6,7.2,6.8
4/25/2011,6:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Better Than Expected            ,% ,7.8,7.7,7.6
5/25/2011,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,7.3,7.9,7.8
6/24/2011,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,6.7,7.3,7.3
7/22/2011,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Better Than Expected            ,% ,6.7,6.4,6.7
8/25/2011,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Better Than Expected            ,% ,7.4,6.5,6.7
9/23/2011,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,,% ,7.1,  ,vised From 7.4
10/25/2011,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Better Than Expected            ,% ,7.1,7,7.1
11/25/2011,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,6.5,7,7.1
12/23/2011,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Better Than Expected            ,% ,6.3,6.2,6.5
1/25/2012,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,5.2,6,6.3
2/24/2012,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,3.6,4.7,5.2
3/23/2012,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,3.4,3.6,vised From 3.6
4/25/2012,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,3.3,3.4,3.4
5/25/2012,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,3.1,3.2,vised From 3.3
6/25/2012,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Better Than Expected            ,% ,3.2,2.7,vised From 3.1
7/24/2012,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,2.5,3.2,3.2
8/24/2012,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,2.6,2.9,2.5
9/25/2012,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Better Than Expected            ,% ,4.1,2.7,2.6
10/25/2012,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,3.8,4,4.1
11/23/2012,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,3.5,4,3.8
12/21/2012,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,2.8,3.3,vised From 3.5
1/25/2013,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,2.7,2.8,2.8
2/25/2013,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Better Than Expected            ,% ,2.6,2.4,vised From 2.7
3/25/2013,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,2.1,2.5,2.6
4/24/2013,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,0.5,1.9,vised From 2.1
5/24/2013,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,-0.5,0.9,vised From 0.5
6/25/2013,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Better Than Expected            ,% ,0.8,-0.2,vised From -0.5
7/24/2013,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,1.3,1.5,vised From 0.8
8/26/2013,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,0.8,1.5,1.3
9/25/2013,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,-0.1,0.5,0.8
10/25/2013,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Better Than Expected            ,% ,0.1,-0.2,-0.1
11/25/2013,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,-0.2,0.1,0.1
12/23/2013,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,-0.6,-0.1,-0.2
2014/01/24,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Better Than Expected            ,% ,0.6,-0.5,vised From -0.6
2014/02/25,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,-1.8,-0.7,0.6
2014/03/25,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,-2.9,-1.9,vised From -1.8
2014/04/25,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Better Than Expected            ,% ,-1.2,-1.4,-2.9
2014/05/26,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,0.1,0.5,vised From -1.2
2014/06/25,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Better Than Expected            ,% ,-0.4,-0.6,vised From 0.1
2014/07/25,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,,% ,0.4,,-0.4
2014/08/25,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,-0.4,0.1,0.4
2014/09/25,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,-0.6,-0.1,vised From -0.4
