1/27/2011,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,-4.4,-2.1,vised From -1.0
3/10/2011,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,-4.7,-5.1,-4.4
3/30/2011,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,-4.8,-5.1,-4.7
4/29/2011,2:10:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,-7.9,-4.9,vised From -4.8
5/27/2011,2:10:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,-2,-8.5,vised From -7.9
6/29/2011,2:05:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,-5.8,-4,vised From -2.0
7/28/2011,2:05:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,-7.4,-4.5,-5.8
8/29/2011,2:05:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,-6,-7.5,vised From -7.4
9/29/2011,2:05:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,-4,-5.8,vised From -6.0
10/27/2011,2:05:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,-5.5,-4,vised From -4.0
11/29/2011,3:05:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,-6.9,-6,vised From -5.5
12/29/2011,3:05:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,-7.2,-6,-6.9
1/27/2012,3:05:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,-6.2,-5.3,vised From -7.2
3/9/2012,3:05:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,-4.8,-7,vised From -6.2
3/30/2012,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,-3.4,-3.6,-4.8
4/27/2012,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,-3.7,-3.2,-6.4
5/29/2012,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,-9.8,-6.3,vised From -3.7
6/27/2012,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,-4.9,-8.2,vised From -9.8
7/31/2012,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,-5.2,-7.7,-4.9
8/31/2012,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,,% ,-7.3,  ,-5.2
9/27/2012,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,-2.1,-6.4,vised From -7.3
10/29/2012,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,-10.9,-6.2,vised From -2.1
11/28/2012,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,-9.7,-11.5,vised From -10.9
12/28/2012,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,-7.8,-10,-9.7
1/29/2013,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,-10.7,-8.9,-7.8
3/14/2013,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,-10.2,-11.2,vised From -10.7
3/27/2013,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,-8,-8.1,vised From -10.2
4/29/2013,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,-8.9,-11,vised From -8.0
5/29/2013,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,-4.7,-8.6,-8.9
6/27/2013,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,-4.6,-5,vised From -4.7
7/31/2013,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,-5.1,-4.7,vised From -4.6
8/30/2013,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,-3.8,-6.9,vised From -5.1
9/27/2013,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,-4.5,-3.8,vised From -3.8
10/29/2013,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,2.2,-1.1,vised From -4.5
11/27/2013,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.5,1.6,2.2
12/30/2013,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,1.9,-0.3,-0.5
2014/01/29,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,-1,2.1,vised From 1.9
2014/03/13,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,0.5,-0.8,-1
2014/03/28,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,,% ,-0.5,,0.5
2014/04/30,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.5,0.1,vised From -0.5
2014/05/28,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,0.7,-0.3,-0.5
2014/06/27,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,0.5,1.8,0.7
2014/07/29,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,0.2,1.1,0.5
2014/08/29,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.5,0.1,0.2
2014/09/29,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,0.4,-0.3,vised From -0.9
2014/10/29,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,1.1,0.6,0.4
2014/11/28,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,1,2,vised From 1.1
2014/12/30,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,,% ,1.9,,1
2015/01/29,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,6.5,2.5,1.9
2015/03/10,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,4.1,2.4,6.5
2015/03/31,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,2.7,4,vised From 4.1
2015/04/29,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,,% ,2.8,,vised From 2.7
2015/05/28,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,4,2,vised From 2.8
2015/06/29,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,3.4,3.5,vised From 4.0
2015/07/29,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,2.3,3.3,vised From 3.4
2015/08/28,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,4.1,0.9,evised From 2.3
2015/09/29,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,3.1,3.3,evised From 4.1
2015/10/29,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,4.3,3,evised From 3.1
2015/11/30,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,5.8,4.5,evised From 4.3
2015/12/29,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,3.3,4.6,evised From 5.8
2016/01/28,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,2.2,3,3.3
2016/03/10,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,3.3,2.9,evised From 2.2
2016/03/31,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,3.9,4,3.3
2016/04/27,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,4.4,3.3,evised From 3.9
2016/05/27,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,4.1,3.9,4.4
2016/06/28,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,2.3,3.6,evised From 4.1
2016/07/27,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,5.6,3.3,2.3
2016/08/26,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,4.9,4,evised From 5.6
2016/09/29,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,,% ,3.4,,evised From 4.9
2016/10/31,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,3.2,2.8,evised From 3.4
2016/11/30,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,,% ,2.2,,evised From 3.2
2016/12/28,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,,% ,3.3,,evised From 2.2
2017/01/27,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,2.9,3.3,evised From 3.3
2017/03/10,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,0.1,2.5,evised From 2.9
2017/03/31,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,,% ,0,,evised From 0.1
2017/04/28,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,0.9,0.7,0.4
2017/05/29,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,1.8,0.7,evised From 0.9
2017/06/28,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,2.4,1.9,evised From 1.8
2017/07/26,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,2.5,1.2,evised From 2.4
2017/08/31,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,1.1,2.4,evised From 2.5
2017/09/28,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,1.6,2.4,evised From 1.1
2017/10/27,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,2.1,2,evised From 1.6
2017/11/28,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.1,2,evised From 2.1
2017/12/27,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,2.0              ,0.60,0.30
2018/01/29,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,1.2              ,2.00,evised From 2.0
2018/03/14,4:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,,% ,2.2              ,,evised From 1.2
2018/03/28,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,,% ,1.9              ,,2.20
2018/04/27,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Better Than Expected            ,% ,1.9              ,1.50,evised From 1.9
2018/05/30,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,Worse Than Expected             ,% ,0.5              ,1.40,evised From 1.9
2018/06/28,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,,% ,-0.3             ,,evised From 0.5
2018/07/27,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,,% ,0.1              ,,evised From -0.3
2018/08/31,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,,% ,-0.4             ,,evised From 0.1
2018/10/01,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish Retail Sales                                                                                            ,,% ,0.3              ,,evised From -0.4
