1/1/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,0.6,  ,0.1
1/4/2011,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,2.2,2,1.9
1/14/2011,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.2,2.2,2.2
1/31/2011,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,2.4,2.3,2.2
2/1/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,-0.7,  ,0.6
2/28/2011,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,2.3,2.4,2.4
3/1/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,0.4,  ,-0.7
3/1/2011,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.4,2.4,2.3
3/16/2011,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.4,2.4,2.4
3/31/2011,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,2.6,2.4,2.4
4/1/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,1.4,  ,0.4
4/15/2011,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,2.7,2.6,2.6
4/29/2011,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,2.8,2.7,2.7
5/1/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,0.6,  ,1.4
5/16/2011,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.8,2.8,2.8
5/31/2011,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,2.7,2.8,2.8
6/1/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,0,  ,0.6
6/16/2011,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.7,2.7,2.7
6/30/2011,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,2.7,2.8,2.7
7/1/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,0,  ,0
7/14/2011,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.7,2.7,2.7
7/29/2011,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,2.5,2.7,2.7
8/1/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,-0.6,  ,0
8/17/2011,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.5,2.5,2.5
8/31/2011,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.5,2.5,2.5
9/1/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,0.2,  ,-0.6
9/15/2011,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.5,2.5,2.5
9/30/2011,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,3,2.5,2.5
10/1/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,0.8,  ,0.2
10/14/2011,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,3,3,3
