1/13/2011,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1,1,1
2/3/2011,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1,1,1
3/3/2011,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1,1,1
4/7/2011,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1.25,1.25,1
5/5/2011,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1.25,1.25,1.25
6/9/2011,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1.25,1.25,1.25
7/7/2011,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1.5,1.5,1.25
8/4/2011,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1.5,1.5,1.5
9/8/2011,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1.5,1.5,1.5
10/6/2011,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1.5,1.5,1.5
11/3/2011,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,Worse Than Expected             ,% ,1.25,1.5,1.5
12/8/2011,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1,1,1.25
1/12/2012,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1,1,1
2/9/2012,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1,1,1
3/8/2012,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1,1,1
4/4/2012,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1,1,1
5/3/2012,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1,1,1
6/6/2012,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1,1,1
7/5/2012,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.75,0.75,1
8/2/2012,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.75,0.75,0.75
9/6/2012,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.75,0.75,0.75
10/4/2012,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.75,0.75,0.75
