1/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-0.6,  ,1.5
1/6/2011,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.8,0.3,vised From 0.5
2/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,0.6,  ,-0.6
2/3/2011,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.6,0.6,vised From -0.8
3/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,1.2,  ,0.6
3/3/2011,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.4,0.3,vised From -0.6
4/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-1.5,  ,1.2
4/5/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.1,0.1,vised From 0.4
5/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,0.6,  ,-1.5
5/4/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-1,0.2,vised From -0.1
6/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-1.8,  ,0.6
6/7/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.9,0.3,vised From -1.0
7/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-0.9,  ,-1.8
7/5/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-1.1,-1,vised From 0.9
8/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-0.6,  ,-0.9
8/3/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.9,0.5,vised From -1.1
9/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-0.2,  ,-0.6
9/5/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.2,0.1,vised From 0.9
10/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-1.3,  ,-0.2
10/5/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.3,-0.2,0.2
11/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-0.7,  ,-1.3
11/7/2011,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.7,-0.1,vised From -0.3
12/1/2011,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-1.5,  ,-0.7
12/5/2011,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.4,0.1,vised From -0.7
1/1/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-1.8,  ,-1.5
1/6/2012,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.8,-0.3,vised From 0.4
2/1/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-0.8,  ,-1.8
2/3/2012,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.4,0.4,vised From -0.8
3/1/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-2.2,  ,-0.8
3/5/2012,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.3,-0.1,vised From -0.4
4/1/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,0,  ,-2.2
4/4/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.1,0.1,vised From 0.3
5/1/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-3.5,  ,0
5/4/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.3,0.3,vised From -0.1
6/1/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-0.6,  ,-3.5
6/5/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-1,-0.1,0.3
7/1/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-0.9,  ,-0.6
7/4/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.6,0.3,vised From -1.0
8/1/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-1.3,  ,-0.9
8/3/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.1,-0.1,vised From 0.6
9/1/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-0.7,  ,-1.3
9/5/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,-0.2,-0.2,0.1
10/1/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-1.9,  ,-0.7
10/3/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.1,-0.1,vised From -0.2
11/1/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-3,  ,-1.9
11/7/2012,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.2,-0.1,vised From 0.1
12/1/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-1.9,  ,-3
12/5/2012,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-1.2,-0.1,vised From -0.2
1/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-2.6,  ,-1.9
1/8/2013,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.1,0.3,vised From -1.2
2/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-2.2,  ,-2.6
2/5/2013,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.8,-0.5,vised From 0.1
3/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-2,  ,-2.2
3/5/2013,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.2,0.2,-0.8
4/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-2.4,  ,-2
4/5/2013,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.3,-0.2,vised From 1.2
5/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-1.2,  ,-2.4
5/6/2013,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,-0.1,-0.1,vised From -0.3
6/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-0.2,  ,-1.2
6/5/2013,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.5,-0.1,vised From -0.1
7/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-1.6,  ,-0.2
7/3/2013,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1,0.2,vised From -0.5
8/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-0.9,  ,-1.6
8/5/2013,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,-0.5,-0.6,vised From 1.0
9/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-0.3,  ,-0.9
9/4/2013,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.1,0.4,vised From -0.5
10/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-0.2,  ,-0.3
10/3/2013,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.7,0.2,vised From 0.1
11/6/2013,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.6,-0.4,vised From 0.7
