1/7/2011,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,10.1,10.1,10.1
2/1/2011,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,10,10.1,vised From 10.1
3/1/2011,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,9.9,10,10
4/1/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,9.9,9.9,vised From 9.9
4/29/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,9.9,9.9,9.9
5/31/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,9.9,9.9,9.9
7/1/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,9.9,9.9,9.9
8/1/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,9.9,9.9,9.9
8/31/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,10,9.9,vised From 9.9
9/30/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,10,10,10
10/31/2011,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,10.2,10,vised From 10.0
11/30/2011,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,10.3,10.2,10.2
1/6/2012,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,10.3,10.3,10.3
1/31/2012,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,10.4,10.4,vised From 10.3
3/1/2012,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,10.7,10.4,vised From 10.4
4/2/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,10.8,10.8,10.7
5/2/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,10.9,10.9,10.8
6/1/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,11,11,vised From 10.9
7/2/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,11.1,11.1,11
7/31/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,11.2,11.2,vised From 11.1
8/31/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,11.3,11.3,vised From 11.2
10/1/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,11.4,11.4,vised From 11.3
10/31/2012,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,11.6,11.5,vised From 11.4
11/30/2012,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,11.7,11.7,11.6
1/8/2013,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,11.8,11.8,11.7
2/1/2013,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,11.7,11.9,vised From 11.8
3/1/2013,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,11.9,11.8,vised From 11.7
4/2/2013,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,12,12,vised From 11.9
4/30/2013,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,12.1,12.1,12
5/31/2013,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,12.2,12.2,12.1
7/1/2013,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,12.1,12.3,vised From 12.2
7/31/2013,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,12.1,12.2,12.1
8/30/2013,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,12.1,12.1,12.1
10/1/2013,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,12,12.1,vised From 12.1
10/31/2013,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,12.2,12,vised From 12.0
11/29/2013,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,12.1,12.2,12.2
2014/01/08,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,12.1,12.1,12.1
2014/01/31,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,12,12.1,vised From 12.1
2014/02/28,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,12,12,12
2014/04/01,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,11.9,12,vised From 12.0
2014/05/02,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,11.8,11.9,vised From 11.9
2014/06/03,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,11.7,11.8,11.8
2014/07/01,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,11.6,11.7,vised From 11.7
2014/07/31,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,11.5,11.6,11.6
2014/08/29,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,11.5,11.5,11.5
2014/09/30,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,11.5,11.5,11.5
2014/10/31,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,11.5,11.5,11.5
2014/11/28,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,11.5,11.5,11.5
2015/01/07,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,11.5,11.5,11.5
2015/01/30,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,11.4,11.5,11.5
2015/03/02,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,11.2,11.4,vised From 11.4
2015/03/31,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,11.3,11.2,vised From 11.2
2015/04/30,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,11.3,11.2,11.3
2015/06/03,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,11.1,11.2,vised From 11.3
2015/06/30,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,11.1,11.1,11.1
2015/07/31,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,11.1,11.1,11.1
2015/09/01,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,10.9,11.1,11.1
2015/09/30,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,11,10.9,evised From 10.9
2015/10/30,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,10.8,11,evised From 11.0
2015/12/01,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,10.7,10.8,10.8
2016/01/07,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,10.5,10.7,evised From 10.7
2016/02/02,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,10.4,10.5,10.5
2016/03/01,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,10.3,10.4,10.4
2016/04/04,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,10.3,10.3,evised From 10.3
2016/04/29,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,10.2,10.3,evised From 10.3
2016/05/31,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,10.2,10.2,10.2
2016/07/01,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,10.1,10.1,10.2
2016/07/29,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,10.1,10.1,10.1
