1/1/2011,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,0,  ,0.1
1/27/2011,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,In Line with Expectation        ,% ,-0.4,-0.4,-0.5
2/1/2011,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,-0.6,  ,0
2/24/2011,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,Better Than Expected            ,% ,-0.2,-0.3,-0.4
3/1/2011,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,-0.5,  ,-0.6
3/24/2011,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,In Line with Expectation        ,% ,-0.3,-0.3,-0.2
4/1/2011,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,-0.5,  ,-0.5
4/27/2011,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,Better Than Expected            ,% ,-0.1,-0.2,-0.3
5/1/2011,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,-0.4,  ,-0.5
5/26/2011,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,In Line with Expectation        ,% ,0.6,0.6,-0.1
6/1/2011,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,-0.4,  ,-0.4
6/30/2011,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,Better Than Expected            ,% ,0.6,0.5,0.6
7/1/2011,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,-0.4,  ,-0.4
7/28/2011,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,Worse Than Expected             ,% ,0.4,0.5,0.6
8/1/2011,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,0.2,  ,-0.4
8/25/2011,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,Better Than Expected            ,% ,0.1,-0.1,vised From 0.4
9/1/2011,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,0.2,  ,0.2
9/29/2011,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,Better Than Expected            ,% ,0.2,0.1,0.1
10/1/2011,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,0,  ,0.2
10/27/2011,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,In Line with Expectation        ,% ,0.2,0.2,0.2
11/1/2011,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,-0.2,  ,0
11/24/2011,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,In Line with Expectation        ,% ,-0.1,-0.1,0.2
12/1/2011,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,-0.5,  ,-0.2
12/27/2011,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,In Line with Expectation        ,% ,-0.2,-0.2,-0.1
1/1/2012,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,-0.2,  ,-0.5
1/26/2012,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,In Line with Expectation        ,% ,-0.1,-0.1,-0.2
2/1/2012,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,0.1,  ,-0.2
3/1/2012,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,0.3,  ,0.1
3/1/2012,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
3/29/2012,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,Better Than Expected            ,% ,0.1,-0.1,-0.1
4/1/2012,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,0.5,  ,0.3
4/26/2012,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,Better Than Expected            ,% ,0.2,0.1,0.1
5/1/2012,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,0.4,  ,0.5
