1/1/2011,4:00:00,United Kingdom                  ,Low Volatility Expected         ,Average Earnings ex Bonus                                                                                       ,,% ,2.2,,2.3
2/13/2011,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,-0.3,-0.5,vised From 1.1
3/9/2011,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,-0.3,-0.3,-0.3
5/18/2011,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,-0.9,-0.5,vised From -0.3
6/8/2011,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,-0.9,-0.8,-0.9
8/14/2011,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,-0.3,-0.6,-0.9
9/8/2011,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,-0.5,-0.5,-0.3
11/13/2011,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,1.5,1.5,-0.5
12/8/2011,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,1.4,1.3,1.5
2/12/2012,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,-0.6,-0.3,1.4
3/7/2012,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,-0.2,-0.2,-0.6
5/16/2012,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,1,0.9,-0.2
6/7/2012,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,1.2,1.1,1
8/12/2012,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.3,0.6,vised From 1.2
9/9/2012,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.2,0.3,0.3
11/11/2012,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,-0.9,-0.9,vised From 0.2
12/9/2012,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,-0.9,-0.8,-0.9
2/13/2013,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,-0.1,0.1,vised From -0.9
3/7/2013,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,0,0,-0.1
5/15/2013,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,0.9,0.7,0.3
6/9/2013,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,1,0.9,0.9
8/11/2013,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.6,0.9,vised From 1.0
9/8/2013,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,0.9,0.9,0.6
11/13/2013,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,0.5,0.4,0.9
12/8/2013,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.3,0.4,0.5
2014/01/01,4:00:00,United Kingdom                  ,Low Volatility Expected         ,Public Sector Net Cash Requirement                                                                              ,,B  ,16.28,1,8.1
