1/24/2011,22:30:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2/14/2011,22:40:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
3/14/2011,0:50:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
4/6/2011,23:10:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
4/27/2011,23:30:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
5/19/2011,22:15:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
6/13/2011,22:45:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
7/11/2011,23:20:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
8/4/2011,0:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
9/6/2011,22:20:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
10/6/2011,22:30:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
10/26/2011,23:30:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
11/15/2011,22:30:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
12/20/2011,22:20:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
1/23/2012,22:30:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2/13/2012,22:45:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
3/13/2012,0:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
4/9/2012,22:10:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
4/26/2012,22:30:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
5/22/2012,21:40:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
6/14/2012,21:55:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
7/11/2012,22:50:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
8/8/2012,23:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
9/18/2012,22:45:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
10/4/2012,22:15:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
10/30/2012,0:45:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
11/19/2012,22:15:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
12/19/2012,23:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
