1/1/2011,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0.5,  ,-0.1
1/13/2011,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,1.2,1,0.9
2/1/2011,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0.4,  ,0.5
2/9/2011,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,1.6,1.4,1.2
3/1/2011,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0.1,  ,0.4
3/9/2011,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,1.7,1.9,1.6
4/1/2011,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0.6,  ,0.1
4/12/2011,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,2,1.9,1.7
5/1/2011,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0.8,  ,0.6
5/15/2011,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,2.5,2.1,2
6/1/2011,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-0.2,  ,0.8
6/9/2011,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,2.2,2.5,2.5
7/1/2011,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0,  ,-0.2
7/11/2011,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,2.5,2.4,2.2
8/1/2011,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0.3,  ,0
8/9/2011,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,2.9,2.6,vised From 2.5
9/1/2011,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-0.1,  ,0.3
9/11/2011,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,2.6,2.7,2.9
10/1/2011,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-0.2,  ,-0.1
10/13/2011,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,2.5,2.5,2.6
11/1/2011,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-0.8,  ,-0.2
11/10/2011,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,1.7,2.2,2.5
12/1/2011,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-0.1,  ,-0.8
12/11/2011,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,1.7,1.5,vised From 1.7
1/1/2012,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0,  ,-0.1
1/15/2012,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,1.3,1.2,vised From 1.7
2/1/2012,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-0.1,  ,0
2/9/2012,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.5,0.9,vised From 1.3
3/1/2012,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0.2,  ,-0.1
3/11/2012,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.6,0.6,0.5
4/1/2012,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0.5,  ,0.2
4/11/2012,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.6,0.3,0.6
5/1/2012,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-0.2,  ,0.5
5/13/2012,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,-0.2,-0.3,vised From 0.6
6/1/2012,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-0.4,  ,-0.2
