1/27/2011,18:50:00,Japan                           ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-2,0.6,vised From 1.3
2/27/2011,18:50:00,Japan                           ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.1,-1.5,vised From -2.0
3/28/2011,18:50:00,Japan                           ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.1,-0.5,0.1
4/26/2011,18:50:00,Japan                           ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-8.5,-5.8,0.1
5/26/2011,18:50:00,Japan                           ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,-4.8,-6.2,vised From -8.5
6/27/2011,18:50:00,Japan                           ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,-1.3,-2.2,-4.8
7/27/2011,18:50:00,Japan                           ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.1,-0.5,-1.3
8/29/2011,18:50:00,Japan                           ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.7,1.5,vised From 1.1
9/28/2011,18:50:00,Japan                           ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-2.6,-0.8,vised From 0.7
10/26/2011,18:50:00,Japan                           ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-1.2,-0.1,-2.6
11/28/2011,18:50:00,Japan                           ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.9,0.7,vised From -1.2
12/27/2011,18:50:00,Japan                           ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-2.3,0.1,1.9
1/26/2012,18:50:00,Japan                           ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,2.5,2,vised From -2.3
