1/1/2011,4:00:00,United Kingdom                  ,Low Volatility Expected         ,Average Earnings ex Bonus                                                                                       ,,% ,2.2,,2.3
1/27/2011,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,4.9,5.1,5.1
2/28/2011,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,4.9,4.9,4.9
3/28/2011,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,4.6,4.9,4.9
4/27/2011,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,4.6,4.8,4.6
5/30/2011,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,4.7,4.7,4.6
6/30/2011,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,4.5,4.8,4.7
7/28/2011,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,4.6,4.6,4.5
8/29/2011,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,4.7,4.6,4.6
9/29/2011,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,4.3,4.7,4.7
10/27/2011,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,4.1,4.5,4.3
11/28/2011,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,4.5,4.2,4.1
12/27/2011,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,4.5,4.5,4.5
1/30/2012,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,4.6,4.5,4.5
3/1/2012,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,4.6,4.5,4.6
3/29/2012,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,4.5,4.6,4.6
4/26/2012,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,4.5,4.5,4.5
