1/1/2011,4:00:00,United States                   ,Moderate Volatility Expected    ,Core CPI                                                                                                        ,,% ,0.8,  ,0.8
1/14/2011,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.1,0.1,0.1
2/1/2011,4:00:00,United States                   ,Moderate Volatility Expected    ,Core CPI                                                                                                        ,,% ,1,  ,0.8
2/17/2011,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.2,0.1,0.1
3/1/2011,4:00:00,United States                   ,Moderate Volatility Expected    ,Core CPI                                                                                                        ,,% ,1.1,  ,1
3/17/2011,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.2,0.1,0.2
4/1/2011,4:00:00,United States                   ,Moderate Volatility Expected    ,Core CPI                                                                                                        ,,% ,1.2,  ,1.1
4/15/2011,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.2
5/1/2011,4:00:00,United States                   ,Moderate Volatility Expected    ,Core CPI                                                                                                        ,,% ,1.3,  ,1.2
5/13/2011,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.1
6/1/2011,4:00:00,United States                   ,Moderate Volatility Expected    ,Core CPI                                                                                                        ,,% ,1.5,  ,1.3
6/15/2011,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.3,0.2,0.2
7/1/2011,4:00:00,United States                   ,Moderate Volatility Expected    ,Core CPI                                                                                                        ,,% ,1.6,  ,1.5
7/15/2011,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.3,0.2,0.3
8/1/2011,4:00:00,United States                   ,Moderate Volatility Expected    ,Core CPI                                                                                                        ,,% ,1.8,  ,1.6
8/18/2011,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.3
9/1/2011,4:00:00,United States                   ,Moderate Volatility Expected    ,Core CPI                                                                                                        ,,% ,2,  ,1.8
9/15/2011,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
10/1/2011,4:00:00,United States                   ,Moderate Volatility Expected    ,Core CPI                                                                                                        ,,% ,2,  ,2
10/19/2011,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.2
11/1/2011,4:00:00,United States                   ,Moderate Volatility Expected    ,Core CPI                                                                                                        ,,% ,2.1,  ,2
11/16/2011,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.1,0.1,0.1
12/1/2011,4:00:00,United States                   ,Moderate Volatility Expected    ,Core CPI                                                                                                        ,,% ,2.2,  ,2.1
12/16/2011,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.1
1/1/2012,4:00:00,United States                   ,Moderate Volatility Expected    ,Core CPI                                                                                                        ,,% ,2.2,  ,2.2
1/19/2012,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.1,0.1,0.2
2/1/2012,4:00:00,United States                   ,Moderate Volatility Expected    ,Core CPI                                                                                                        ,,% ,2.3,  ,2.2
2/17/2012,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.2,0.3,0.1
3/16/2012,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.2
4/1/2012,4:00:00,United States                   ,Moderate Volatility Expected    ,Core CPI                                                                                                        ,,% ,2.3,  ,2.2
4/13/2012,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.1
5/15/2012,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
6/14/2012,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
7/17/2012,7:30:00,United States                   ,Moderate Volatility Expected    ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,2.2,2.2,2.3
7/17/2012,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
8/15/2012,7:30:00,United States                   ,Moderate Volatility Expected    ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,2.1,2.2,2.2
8/15/2012,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.2
9/14/2012,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.1
10/16/2012,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.1
11/15/2012,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.2,0.1,0.1
12/14/2012,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.2
1/16/2013,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.1
2/21/2013,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.3,0.2,0.1
3/15/2013,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.3
4/16/2013,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.2
5/16/2013,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.1
6/18/2013,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.1
7/16/2013,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
8/15/2013,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
9/17/2013,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.1,0.1,0.2
10/30/2013,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.1
11/20/2013,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.1,0.1,0.1
12/17/2013,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.2,0.1,0.1
2014/01/16,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.1,0.1,0.2
2014/02/20,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.1,0.1,0.1
2014/03/18,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.1,0.1,0.1
2014/04/15,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.2,0.1,0.1
2014/05/15,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.2,0.1,0.2
2014/06/17,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.3,0.2,0.2
2014/07/22,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.3
2014/08/19,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.1
2014/09/17,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0,0.2,0.1
2014/10/22,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0
