1/7/2011,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,9.4,9.7,9.8
2/4/2011,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,9,9.6,9.4
3/4/2011,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,8.9,9.1,9
4/1/2011,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,8.8,8.9,8.9
5/6/2011,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,9,8.8,8.8
6/3/2011,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,9.1,9,9
7/8/2011,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,9.2,9.1,9.1
8/5/2011,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,9.1,9.2,9.2
9/2/2011,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,9.1,9.1,9.1
10/7/2011,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,9.1,9.1,9.1
11/4/2011,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,9,9.1,9.1
12/2/2011,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,8.6,9,9
1/6/2012,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,8.5,8.7,vised From 8.6
2/3/2012,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,8.3,8.5,8.5
3/9/2012,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,8.3,8.3,8.3
4/6/2012,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,8.2,8.3,8.3
5/4/2012,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,8.1,8.2,8.2
6/1/2012,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,8.2,8.1,8.1
7/6/2012,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,8.2,8.2,8.2
8/3/2012,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,8.3,8.2,8.2
9/7/2012,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,8.1,8.3,8.3
10/5/2012,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,7.8,8.2,8.1
11/2/2012,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,7.9,7.9,7.8
12/7/2012,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,7.7,7.9,7.9
1/4/2013,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,7.8,7.7,vised From 7.7
2/1/2013,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,7.9,7.8,7.8
3/8/2013,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,7.7,7.9,7.9
4/5/2013,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,7.6,7.7,7.7
5/3/2013,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,7.5,7.6,7.6
6/7/2013,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,7.6,7.5,7.5
7/5/2013,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,7.6,7.5,7.6
8/2/2013,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,7.4,7.5,7.6
9/6/2013,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,7.3,7.4,7.4
10/22/2013,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,7.2,7.3,7.3
11/8/2013,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,7.3,7.3,7.2
12/6/2013,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,7,7.2,7.3
2014/01/10,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,6.7,7,7
2014/02/07,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,6.6,6.7,6.7
